participant,scene,link,scheme,samples_n,ready_n,ready_pct,clock_valid_n,clock_valid_pct,mapping_age_ms_available_n,mapping_age_ms_missing_or_negative_n,mapping_age_ms_median,mapping_age_ms_p95,mapping_age_ms_p99,mapping_age_ms_max,uncertainty_ms_available_n,uncertainty_ms_missing_or_negative_n,uncertainty_ms_median,uncertainty_ms_p95,uncertainty_ms_p99,uncertainty_ms_max,sync_rtt_ms_available_n,sync_rtt_ms_missing_or_negative_n,sync_rtt_ms_median,sync_rtt_ms_p95,sync_rtt_ms_p99,sync_rtt_ms_max
P1,supermarket,EyeTracking→PC,GC_filtered,27051,27051,100.0000000000,27051,100.0000000000,27051,0,4102.5000000000,8587.5000000000,8985.0500000000,9125.7000000000,27051,0,1.7660000000,1.9090000000,1.9150000000,1.9740000000,27051,0,3.4150000000,3.7630000000,3.7690000000,3.8190000000
P1,supermarket,EyeTracking→PC,GC_retained,28432,28432,100.0000000000,28432,100.0000000000,28432,0,4078.9500000000,8586.2250000000,9002.8450000000,9295.9000000000,28432,0,1.7750000000,1.9090000000,1.9150000000,1.9740000000,28432,0,3.4150000000,3.7630000000,3.7690000000,3.8190000000
P1,supermarket,MoCap→PC,GC_filtered,25685,0,0.0000000000,0,0.0000000000,25685,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25685,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25685,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P1,supermarket,MoCap→PC,GC_retained,27001,0,0.0000000000,0,0.0000000000,27001,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27001,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27001,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P1,supermarket,MoCap→VR,GC_filtered,26990,0,0.0000000000,0,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P1,supermarket,MoCap→VR,GC_retained,26990,0,0.0000000000,0,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26990,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P1,supermarket,PC<->VR 状态同步,GC_filtered,15666,0,0.0000000000,15666,100.0000000000,15666,0,4030.2000000000,8564.9000000000,8982.4650000000,9289.7000000000,15666,0,1.7750000000,1.9090000000,1.9150000000,1.9740000000,15666,0,3.4150000000,3.7630000000,3.7690000000,3.8190000000
P1,supermarket,PC<->VR 状态同步,GC_retained,15666,0,0.0000000000,15666,100.0000000000,15666,0,4030.2000000000,8564.9000000000,8982.4650000000,9289.7000000000,15666,0,1.7750000000,1.9090000000,1.9150000000,1.9740000000,15666,0,3.4150000000,3.7630000000,3.7690000000,3.8190000000
P1,street,EyeTracking→PC,GC_filtered,27372,27372,100.0000000000,27372,100.0000000000,27372,0,4035.1000000000,8583.4350000000,8979.8900000000,9102.6000000000,27372,0,1.7420000000,1.8240000000,2.0250000000,4.7260000000,27372,0,3.3740000000,3.5420000000,3.5730000000,4.0500000000
P1,street,EyeTracking→PC,GC_retained,28766,28766,100.0000000000,28766,100.0000000000,28766,0,4075.9500000000,8573.9250000000,8978.4000000000,9102.6000000000,28766,0,1.7420000000,1.8240000000,2.0250000000,4.7260000000,28766,0,3.3740000000,3.5420000000,3.5730000000,4.0500000000
