participant,scene,gc_source,events_n,union_gc_window_seconds,window_percent
P1,supermarket,cross_link_heuristic,29,14.5000000000,4.8333333333
P1,street,cross_link_heuristic,29,14.5000000000,4.8333333333
P2,supermarket,cross_link_heuristic,21,10.5000000000,3.5000000000
P2,street,cross_link_heuristic,25,12.5000000000,4.1666666667
P3,supermarket,cross_link_heuristic,23,11.5000000000,3.8333333333
P3,street,direct_log,19,9.5000000000,3.1666666667
P4,supermarket,direct_log,25,12.5000000000,4.1666666667
P4,street,direct_log,15,7.5000000000,2.5000000000
P5,supermarket,direct_log,27,13.5000000000,4.5000000000
P5,street,direct_log,23,11.5000000000,3.8333333333
P6,supermarket,direct_log,13,6.5000000000,2.1666666667
P6,street,direct_log,15,7.5000000000,2.5000000000
P7,supermarket,direct_log,12,6.0000000000,2.0000000000
P7,street,direct_log,11,5.5000000000,1.8333333333
P8,supermarket,direct_log,18,9.0000000000,3.0000000000
P8,street,direct_log,21,10.5000000000,3.5000000000
P9,supermarket,direct_log,10,5.0000000000,1.6666666667
P9,street,direct_log,11,5.5000000000,1.8333333333
P10,supermarket,direct_log,9,4.5000000000,1.5000000000
P10,street,direct_log,8,4.0000000000,1.3333333333
