序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
1,2026-08-21 09:50:56.733,2026-08-21 09:50:56.695,PC<->VR 状态同步,38.77,0.35,0.00,38.03,38.93,38.30,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,24.0,6.409,5
2,2026-08-21 09:50:56.738,2026-08-21 09:50:56.734,EyeTracking→PC,3.98,0.48,0.00,3.98,5.95,4.69,5.83,5.93,3.98,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,30.9,6.409,5
3,2026-08-21 09:50:56.740,2026-08-21 09:50:56.737,MoCap→PC,7.72,0.44,0.00,5.17,9.52,7.29,9.08,9.41,7.72,10.00,0.00,,false,,0.000,0.000,0.0,0.000,0
4,2026-08-21 09:50:56.744,2026-08-21 09:50:56.706,PC<->VR 状态同步,38.77,0.35,0.00,38.03,38.93,38.30,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,35.7,6.409,5
5,2026-08-21 09:50:56.751,2026-08-21 09:50:56.749,MoCap→PC,6.60,0.48,0.00,5.17,9.52,7.27,9.07,9.41,6.60,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
6,2026-08-21 09:50:56.753,2026-08-21 09:50:56.744,EyeTracking→PC,8.51,0.48,0.00,3.98,8.51,5.16,8.00,8.41,8.51,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,46.1,6.409,5
7,2026-08-21 09:50:56.762,2026-08-21 09:50:56.760,MoCap→PC,7.90,0.44,0.00,5.17,9.52,7.29,9.06,9.41,7.90,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
8,2026-08-21 09:50:56.773,2026-08-21 09:50:56.771,MoCap→PC,6.69,0.44,0.00,5.17,9.52,7.27,9.06,9.40,6.69,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
9,2026-08-21 09:50:56.773,2026-08-21 09:50:56.755,EyeTracking→PC,17.67,0.48,0.00,3.98,17.67,5.56,15.38,17.21,17.67,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,65.2,6.409,5
10,2026-08-21 09:50:56.773,2026-08-21 09:50:56.765,EyeTracking→PC,7.68,0.48,0.00,3.98,17.67,5.95,14.92,17.12,7.68,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,65.2,6.409,5
11,2026-08-21 09:50:56.778,2026-08-21 09:50:56.740,PC<->VR 状态同步,38.77,0.35,0.00,38.03,38.93,38.47,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,69.0,6.409,5
12,2026-08-21 09:50:56.784,2026-08-21 09:50:56.782,MoCap→PC,7.13,0.44,0.00,5.17,9.52,7.25,9.04,9.40,7.13,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
13,2026-08-21 09:50:56.794,2026-08-21 09:50:56.756,PC<->VR 状态同步,38.77,0.34,0.00,38.03,38.93,38.63,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,84.9,6.409,5
14,2026-08-21 09:50:56.795,2026-08-21 09:50:56.793,MoCap→PC,8.08,0.44,0.00,5.17,9.52,7.27,9.01,9.40,8.08,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
15,2026-08-21 09:50:56.797,2026-08-21 09:50:56.775,EyeTracking→PC,22.28,0.48,0.00,3.98,22.28,6.82,20.66,21.95,22.28,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,89.6,6.409,5
16,2026-08-21 09:50:56.797,2026-08-21 09:50:56.787,EyeTracking→PC,10.29,0.59,0.00,3.98,22.28,7.68,20.43,21.91,10.29,12.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,89.7,6.409,5
17,2026-08-21 09:50:56.807,2026-08-21 09:50:56.804,MoCap→PC,8.02,0.44,0.00,5.17,9.52,7.29,8.99,9.40,8.02,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
18,2026-08-21 09:50:56.817,2026-08-21 09:50:56.815,MoCap→PC,6.83,0.44,0.00,5.17,9.52,7.27,8.97,9.40,6.83,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
