participant,scene,folder,link,window_samples_n,gc_excluded_n,invalid_excluded_n,valid_n,median_ms,mean_ms,p95_ms,p99_ms,max_ms,gt50_n,gt50_pct,max_gap_ms,nominal_rate_hz,retained_pct
P1,supermarket,P01/supermarket,EyeTracking→PC,28433,1381,1,27051,2.250000,2.361742,3.570000,5.515000,16.170000,0,0.000000,546.000000,90.170000,95.139451
P1,supermarket,P01/supermarket,MoCap→PC,27001,1316,0,25685,6.690000,8.316504,20.480000,24.740000,35.020000,0,0.000000,564.000000,85.616667,95.126106
P1,supermarket,P01/supermarket,MoCap→VR,26990,0,0,26990,9.740000,11.849106,23.850000,29.811100,41.890000,0,0.000000,43.000000,89.966667,100.000000
P1,supermarket,P01/supermarket,PC<->VR 状态同步,15666,0,0,15666,31.880000,32.070787,37.070000,42.240000,46.530000,0,0.000000,319.000000,52.220000,100.000000
P1,street,P01/street,EyeTracking→PC,28766,1394,0,27372,2.360000,2.475169,3.720000,5.880000,22.040000,0,0.000000,525.000000,91.240000,95.154001
P1,street,P01/street,MoCap→PC,26994,1311,0,25683,6.860000,6.951061,8.570000,13.801800,26.990000,0,0.000000,523.000000,85.610000,95.143365
P1,street,P01/street,MoCap→VR,26985,0,0,26985,9.440000,9.795885,14.038000,18.230000,26.500000,0,0.000000,68.000000,89.950000,100.000000
P1,street,P01/street,PC<->VR 状态同步,17200,0,0,17200,29.180000,30.048962,37.290000,43.040000,56.140000,59,0.343023,524.000000,57.333333,100.000000
P2,supermarket,P02/supermarket,EyeTracking→PC,28745,1009,0,27736,2.240000,2.332593,3.460000,5.200000,16.970000,0,0.000000,544.000000,92.453333,96.489824
P2,supermarket,P02/supermarket,MoCap→PC,26997,952,0,26045,6.730000,6.749532,8.300000,8.860000,19.830000,0,0.000000,546.000000,86.816667,96.473682
P2,supermarket,P02/supermarket,MoCap→VR,26994,0,0,26994,9.480000,9.763843,12.490000,17.700000,40.820000,0,0.000000,41.000000,89.980000,100.000000
P2,supermarket,P02/supermarket,PC<->VR 状态同步,17189,0,0,17189,27.850000,28.132222,32.080000,35.652400,40.050000,0,0.000000,296.000000,57.296667,100.000000
P2,street,P02/street,EyeTracking→PC,28416,1186,3,27227,2.270000,2.391849,3.690000,5.510000,24.040000,0,0.000000,522.000000,90.756667,95.815738
P2,street,P02/street,MoCap→PC,27000,1129,0,25871,6.510000,6.531633,8.010000,8.530000,23.590000,0,0.000000,523.000000,86.236667,95.818519
P2,street,P02/street,MoCap→VR,26994,0,0,26994,9.440000,9.951659,14.057000,20.010000,123.410000,9,0.033341,125.000000,89.980000,100.000000
P2,street,P02/street,PC<->VR 状态同步,17259,0,0,17259,30.390000,30.970582,37.040000,39.871000,44.110000,0,0.000000,274.000000,57.530000,100.000000
P3,supermarket,P03/supermarket,EyeTracking→PC,28564,1100,0,27464,2.450000,3.595291,6.558500,26.473700,84.320000,237,0.862948,578.000000,91.546667,96.148999
P3,supermarket,P03/supermarket,MoCap→PC,27001,1037,0,25964,8.190000,8.155330,9.740000,10.560000,33.030000,0,0.000000,524.000000,86.546667,96.159402
P3,supermarket,P03/supermarket,MoCap→VR,26988,0,0,26988,11.580000,13.168692,22.600000,38.312600,167.880000,123,0.455758,101.000000,89.960000,100.000000
P3,supermarket,P03/supermarket,PC<->VR 状态同步,17158,0,0,17158,31.430000,31.892419,37.481500,41.081600,45.250000,0,0.000000,2237.000000,57.193333,100.000000
P3,street,P03/street,EyeTracking→PC,28732,915,0,27817,2.530000,3.655868,6.162000,24.668800,133.280000,202,0.726175,520.000000,92.723333,96.815397
P3,street,P03/street,MoCap→PC,27000,858,0,26142,8.410000,8.424943,9.930000,10.600000,35.630000,0,0.000000,522.000000,87.140000,96.822222
P3,street,P03/street,MoCap→VR,26990,0,0,26990,11.690000,13.347939,21.300000,38.018800,267.800000,171,0.633568,267.000000,89.966667,100.000000
P3,street,P03/street,PC<->VR 状态同步,17111,0,0,17111,31.540000,32.052412,39.000000,45.480000,56.430000,86,0.502601,268.000000,57.036667,100.000000
P4,supermarket,P04/supermarket,EyeTracking→PC,28471,1250,1,27220,2.370000,2.561655,3.710000,5.700000,69.150000,38,0.139603,567.000000,90.733333,95.606055
P4,supermarket,P04/supermarket,MoCap→PC,26993,1189,0,25804,6.580000,6.665020,8.420000,9.490000,27.480000,0,0.000000,567.000000,86.013333,95.595154
P4,supermarket,P04/supermarket,MoCap→VR,26991,0,0,26991,9.370000,9.812177,13.185000,19.532000,25.880000,0,0.000000,32.000000,89.970000,100.000000
P4,supermarket,P04/supermarket,PC<->VR 状态同步,16034,0,0,16034,31.690000,32.239619,38.960000,43.450000,47.850000,0,0.000000,314.000000,53.446667,100.000000
P4,street,P04/street,EyeTracking→PC,28933,794,0,28139,2.260000,2.351949,3.530000,5.326200,29.910000,0,0.000000,669.000000,93.796667,97.255729
P4,street,P04/street,MoCap→PC,27000,744,0,26256,7.560000,7.611846,9.720000,10.564500,33.010000,0,0.000000,689.000000,87.520000,97.244444
P4,street,P04/street,MoCap→VR,26992,0,0,26992,10.290000,10.702184,15.840000,18.320000,25.260000,0,0.000000,28.000000,89.973333,100.000000
P4,street,P04/street,PC<->VR 状态同步,16707,0,0,16707,27.480000,28.369944,34.137000,37.460000,40.600000,0,0.000000,551.000000,55.690000,100.000000
P5,supermarket,P05/supermarket,EyeTracking→PC,28375,1333,0,27042,2.260000,2.391037,3.820000,5.650000,35.200000,0,0.000000,554.000000,90.140000,95.302203
P5,supermarket,P05/supermarket,MoCap→PC,27000,1278,0,25722,7.450000,7.470325,9.290000,9.990000,41.210000,0,0.000000,557.000000,85.740000,95.266667
P5,supermarket,P05/supermarket,MoCap→VR,26990,0,0,26990,10.190000,10.576245,14.140000,20.320000,53.210000,2,0.007410,54.000000,89.966667,100.000000
P5,supermarket,P05/supermarket,PC<->VR 状态同步,15948,0,0,15948,31.200000,32.008827,37.930000,40.630000,44.500000,0,0.000000,1622.000000,53.160000,100.000000
P5,street,P05/street,EyeTracking→PC,28778,1110,0,27668,2.320000,2.503537,3.580000,5.883300,71.200000,41,0.148186,523.000000,92.226667,96.142887
P5,street,P05/street,MoCap→PC,26996,1036,0,25960,9.590000,9.636696,11.270000,12.204100,33.160000,0,0.000000,523.000000,86.533333,96.162394
P5,street,P05/street,MoCap→VR,26987,0,0,26987,12.020000,12.328824,15.310000,20.181400,29.450000,0,0.000000,30.000000,89.956667,100.000000
P5,street,P05/street,PC<->VR 状态同步,16758,0,0,16758,30.250000,30.446273,35.900000,37.892900,41.090000,0,0.000000,287.000000,55.860000,100.000000
P6,supermarket,P06/supermarket,EyeTracking→PC,28782,663,0,28119,2.390000,2.525318,4.000000,5.920000,27.640000,0,0.000000,561.000000,93.730000,97.696477
P6,supermarket,P06/supermarket,MoCap→PC,26999,624,0,26375,7.670000,7.694705,9.520000,10.290000,33.030000,0,0.000000,566.000000,87.916667,97.688803
P6,supermarket,P06/supermarket,MoCap→VR,26986,0,0,26986,10.550000,10.995590,16.450000,18.921500,25.730000,0,0.000000,27.000000,89.953333,100.000000
P6,supermarket,P06/supermarket,PC<->VR 状态同步,16159,0,0,16159,31.710000,31.878960,37.240000,41.130000,44.490000,0,0.000000,313.000000,53.863333,100.000000
P6,street,P06/street,EyeTracking→PC,28338,761,0,27577,2.410000,2.588238,4.250000,6.550000,29.500000,0,0.000000,563.000000,91.923333,97.314560
P6,street,P06/street,MoCap→PC,27000,732,0,26268,7.370000,7.430077,9.500000,10.370000,33.320000,0,0.000000,579.000000,87.560000,97.288889
P6,street,P06/street,MoCap→VR,26990,0,0,26990,10.300000,10.730860,14.960000,20.660000,39.380000,0,0.000000,37.000000,89.966667,100.000000
P6,street,P06/street,PC<->VR 状态同步,16307,0,0,16307,31.690000,32.502853,38.400000,41.070000,44.130000,0,0.000000,323.000000,54.356667,100.000000
P7,supermarket,P07/supermarket,EyeTracking→PC,28471,619,0,27852,2.280000,2.482853,3.990000,7.904900,25.250000,0,0.000000,586.000000,92.840000,97.825858
P7,supermarket,P07/supermarket,MoCap→PC,26855,590,0,26265,7.510000,7.497584,9.180000,9.813600,26.550000,0,0.000000,1589.000000,87.550000,97.803016
P7,supermarket,P07/supermarket,MoCap→VR,26846,0,0,26846,10.360000,10.810521,15.730000,20.690000,50.880000,1,0.003725,1588.000000,89.486667,100.000000
P7,supermarket,P07/supermarket,PC<->VR 状态同步,15288,0,0,15288,31.200000,31.692588,37.420000,40.290000,51.360000,7,0.045788,348.000000,50.960000,100.000000
P7,street,P07/street,EyeTracking→PC,28874,576,0,28298,2.400000,2.622417,3.910000,6.320000,71.060000,39,0.137819,582.000000,94.326667,98.005126
P7,street,P07/street,MoCap→PC,27001,543,0,26458,7.385000,7.373689,9.310000,10.070000,22.830000,0,0.000000,590.000000,88.193333,97.988963
P7,street,P07/street,MoCap→VR,26993,0,0,26993,10.110000,10.617322,15.934000,18.953200,117.370000,13,0.048161,104.000000,89.976667,100.000000
P7,street,P07/street,PC<->VR 状态同步,16607,0,0,16607,32.430000,33.639011,42.210000,44.750000,48.140000,0,0.000000,320.000000,55.356667,100.000000
P8,supermarket,P08/supermarket,EyeTracking→PC,28394,872,0,27522,2.290000,2.391181,3.620000,5.397900,15.000000,0,0.000000,547.000000,91.740000,96.928929
P8,supermarket,P08/supermarket,MoCap→PC,26756,825,0,25931,8.590000,8.783326,10.300000,20.807000,26.380000,0,0.000000,545.000000,86.436667,96.916579
P8,supermarket,P08/supermarket,MoCap→VR,26745,0,0,26745,11.500000,12.114412,19.560000,24.200000,40.930000,0,0.000000,41.000000,89.150000,100.000000
P8,supermarket,P08/supermarket,PC<->VR 状态同步,16882,0,0,16882,31.730000,32.028822,36.690000,39.030000,44.020000,0,0.000000,297.000000,56.273333,100.000000
P8,street,P08/street,EyeTracking→PC,28853,1014,1,27838,2.370000,2.781315,5.330000,12.556300,38.850000,0,0.000000,524.000000,92.793333,96.482168
P8,street,P08/street,MoCap→PC,26951,952,0,25999,7.680000,7.726586,9.200000,9.950000,26.060000,0,0.000000,523.000000,86.663333,96.467664
P8,street,P08/street,MoCap→VR,26940,0,0,26940,10.600000,11.156472,16.830000,19.942200,39.050000,0,0.000000,33.000000,89.800000,100.000000
P8,street,P08/street,PC<->VR 状态同步,16805,0,0,16805,29.480000,29.940133,36.070000,38.810000,41.510000,0,0.000000,273.000000,56.016667,100.000000
P9,supermarket,P09/supermarket,EyeTracking→PC,28454,489,1,27964,2.380000,2.485697,3.690000,5.363700,18.090000,0,0.000000,537.000000,93.213333,98.277922
P9,supermarket,P09/supermarket,MoCap→PC,26594,455,0,26139,8.170000,8.619489,10.350000,21.720000,27.530000,0,0.000000,543.000000,87.130000,98.289088
P9,supermarket,P09/supermarket,MoCap→VR,26585,0,0,26585,11.020000,11.877561,21.038000,24.990000,40.230000,0,0.000000,38.000000,88.616667,100.000000
P9,supermarket,P09/supermarket,PC<->VR 状态同步,15719,0,0,15719,31.150000,31.641762,36.200000,40.290000,42.960000,0,0.000000,289.000000,52.396667,100.000000
P9,street,P09/street,EyeTracking→PC,28853,540,0,28313,2.300000,2.405757,3.580000,5.450000,20.380000,0,0.000000,539.000000,94.376667,98.128444
P9,street,P09/street,MoCap→PC,26683,501,0,26182,8.270000,8.550227,10.110000,19.641900,26.150000,0,0.000000,545.000000,87.273333,98.122400
P9,street,P09/street,MoCap→VR,26672,0,0,26672,11.120000,11.846379,18.160000,23.091600,37.230000,0,0.000000,38.000000,88.906667,100.000000
P9,street,P09/street,PC<->VR 状态同步,16570,0,0,16570,29.220000,29.363217,34.970000,37.560000,40.140000,0,0.000000,1145.000000,55.233333,100.000000
P10,supermarket,P10/supermarket,EyeTracking→PC,28473,450,0,28023,2.320000,2.734688,4.680000,13.850000,55.830000,2,0.007137,553.000000,93.410000,98.419555
P10,supermarket,P10/supermarket,MoCap→PC,26474,411,0,26063,7.070000,7.075220,8.660000,9.360000,26.740000,0,0.000000,545.000000,86.876667,98.447533
P10,supermarket,P10/supermarket,MoCap→VR,26460,0,0,26460,10.120000,10.539246,14.520000,20.160000,28.810000,0,0.000000,44.000000,88.200000,100.000000
P10,supermarket,P10/supermarket,PC<->VR 状态同步,16302,0,0,16302,30.760000,31.104587,35.439500,39.729900,46.100000,0,0.000000,308.000000,54.340000,100.000000
P10,street,P10/street,EyeTracking→PC,28865,404,0,28461,2.300000,2.461725,3.530000,5.260000,71.660000,33,0.115948,552.000000,94.870000,98.600381
P10,street,P10/street,MoCap→PC,26431,372,0,26059,7.210000,7.206411,8.740000,9.330000,24.420000,0,0.000000,555.000000,86.863333,98.592562
P10,street,P10/street,MoCap→VR,26424,0,0,26424,10.120000,10.553639,15.878500,18.047700,33.430000,0,0.000000,36.000000,88.080000,100.000000
P10,street,P10/street,PC<->VR 状态同步,17285,0,0,17285,28.030000,28.548089,33.680000,35.510000,41.550000,0,0.000000,310.000000,57.616667,100.000000
