participant,scene,folder,raw_csv,unity_log,common_start,common_end,common_duration_s,analysis_window_s,gc_source,gc_events_used,heuristic_events,raw_csv_sha256,unity_log_sha256
P1,supermarket,P01/supermarket,05_Data/raw_pseudonymized/baseline/P01/supermarket/NetworkPerformance.csv,,2026-08-20 10:31:13.010,2026-08-20 10:37:46.956,393.946000,300,Validated cross-link heuristic; session log unavailable,29,29,ecc98369de6923cd43b54ff72d8e28588a7c030d2e0fdb5308ee76cf9be64dfe,
P1,street,P01/street,05_Data/raw_pseudonymized/baseline/P01/street/NetworkPerformance.csv,,2026-08-20 10:39:12.478,2026-08-20 10:45:22.777,370.299000,300,Validated cross-link heuristic; session log unavailable,29,29,a4c9451b2feeb2f4f465e2837f7c1dc9cc26757320ce5217acc0a6b98dbb3892,
P2,supermarket,P02/supermarket,05_Data/raw_pseudonymized/baseline/P02/supermarket/NetworkPerformance.csv,,2026-08-20 11:02:00.260,2026-08-20 11:08:27.125,386.865000,300,Validated cross-link heuristic; session log unavailable,21,21,cefb05af8b8c9886af939ce25a961f10981b9c495517c6236f36ce1796552bf6,
P2,street,P02/street,05_Data/raw_pseudonymized/baseline/P02/street/NetworkPerformance.csv,,2026-08-20 10:54:42.724,2026-08-20 11:01:12.933,390.209000,300,Validated cross-link heuristic; session log unavailable,25,25,1ee73341da30b916c4cb1629a77f3c29a501dc36ccfc7051144e3c971e2b92c6,
P3,supermarket,P03/supermarket,05_Data/raw_pseudonymized/baseline/P03/supermarket/NetworkPerformance.csv,,2026-08-20 12:45:57.170,2026-08-20 12:51:59.683,362.513000,300,Validated cross-link heuristic; session log unavailable,23,23,bd36e25bdeb5631d0001d37c01e561379bb6fa13a53a97f2fdb52cfe5818a98b,
P3,street,P03/street,05_Data/raw_pseudonymized/baseline/P03/street/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P03/street/UnityLog_GCEvents.log,2026-08-20 12:53:39.910,2026-08-20 12:59:52.906,372.996000,300,GCMonitor log; cross-link heuristic corroboration,19,19,e85d0f61dccf32d2f30df6a9240b8cc6ecc837a1b128d5271b1c88411660d6ca,b09bb5f2776871ea909e1d25de0d4c2bc6af0e1c83c014f8ceecc64b21d3b5cc
P4,supermarket,P04/supermarket,05_Data/raw_pseudonymized/baseline/P04/supermarket/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P04/supermarket/UnityLog_GCEvents.log,2026-08-20 14:27:23.316,2026-08-20 14:33:36.173,372.857000,300,GCMonitor log; cross-link heuristic corroboration,25,25,d42d57f741f72e27c964a58dccdc5542a84abee8e6a609ad4490a8875c91360c,250437dcfc8a71f44cce3adc5f9195b71f3ec961371f26c4348136036dd0f258
P4,street,P04/street,05_Data/raw_pseudonymized/baseline/P04/street/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P04/street/UnityLog_GCEvents.log,2026-08-20 14:36:50.926,2026-08-20 14:43:26.881,395.955000,300,GCMonitor log; cross-link heuristic corroboration,15,15,5f0311b67d7eef233a14a7ffc308696733a3beab4e4b0eacd604cf85d731dc71,554989842ac5ee7526e59a30de389f3d610c845a90347798316d1c081b164eee
P5,supermarket,P05/supermarket,05_Data/raw_pseudonymized/baseline/P05/supermarket/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P05/supermarket/UnityLog_GCEvents.log,2026-08-20 15:24:37.221,2026-08-20 15:31:00.622,383.401000,300,GCMonitor log; cross-link heuristic corroboration,27,27,0d0a6f4a3b907e395e155890063e2127dab3c5de6f253b206cf6a3f3f32b630f,f24bfeba9e959f6ac8271c7af0823bf4d6321a3fe2b104cdb9c8dab3c369d655
P5,street,P05/street,05_Data/raw_pseudonymized/baseline/P05/street/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P05/street/UnityLog_GCEvents.log,2026-08-20 15:33:00.057,2026-08-20 15:39:18.136,378.079000,300,GCMonitor log; cross-link heuristic corroboration,23,23,de7c56eaf408ce39d7e013e04116b728fd03833c83e43dd0b4eef6e767d8e6a6,11a3b5ffff5cd40b5145a75e03b8ff9d1500a0cea0fbcfbef6a18bbcd29f93ae
P6,supermarket,P06/supermarket,05_Data/raw_pseudonymized/baseline/P06/supermarket/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P06/supermarket/UnityLog_GCEvents.log,2026-08-20 15:54:13.416,2026-08-20 15:59:43.671,330.255000,300,GCMonitor log; cross-link heuristic corroboration,13,13,153c3d5e88fdbb84fe4aad89f553c6b48e427c492dfbd8b063f5eec8d7613746,37d694e29aef5260f9fcf20730b9f11e92c88cc3e91d82e2f2f8571f83e8dad5
P6,street,P06/street,05_Data/raw_pseudonymized/baseline/P06/street/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P06/street/UnityLog_GCEvents.log,2026-08-20 16:02:08.683,2026-08-20 16:08:15.663,366.980000,300,GCMonitor log; cross-link heuristic corroboration,15,15,cc0b694214cd7cc435d71686a6d778c448ac1aca51d9b56d7abad5e652a2ece1,39fcd83c14678d04b3e59e15773a71ccafc247b11b8421d7b51687dfa004ec68
P7,supermarket,P07/supermarket,05_Data/raw_pseudonymized/baseline/P07/supermarket/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P07/supermarket/UnityLog_GCEvents.log,2026-08-21 09:50:56.740,2026-08-21 09:56:52.827,356.087000,300,GCMonitor log; cross-link heuristic corroboration,12,12,a2cf074fd18b99e28000ce64007c1495ac8d25c0876eebe0277bae3e96f1854a,9c6d059d720d38046a1df5c087a9241789e9cad3fd7ee318c95514e4b3f981ba
P7,street,P07/street,05_Data/raw_pseudonymized/baseline/P07/street/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P07/street/UnityLog_GCEvents.log,2026-08-21 09:41:49.213,2026-08-21 09:47:09.195,319.982000,300,GCMonitor log; cross-link heuristic corroboration,11,11,9a6b0329e254e78fc64b7d8dbf8622215d19c23e02dcbacbb692f1466aab5dae,253cccc5954f04a9b6451f0bdb98c1a679bdfb4ed11eed1a8e870c0800d5c0ed
P8,supermarket,P08/supermarket,05_Data/raw_pseudonymized/baseline/P08/supermarket/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P08/supermarket/UnityLog_GCEvents.log,2026-08-21 10:28:53.657,2026-08-21 10:35:23.177,389.520000,300,GCMonitor log; cross-link heuristic corroboration,18,18,201f04197a67439f6fea426a67fceb6331ee10bad11d9930ec52e06e6877b222,09d137c0663de85ae5aa5b1ed26d1bbf985ff27f97f016835f2017a700c5f5f3
P8,street,P08/street,05_Data/raw_pseudonymized/baseline/P08/street/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P08/street/UnityLog_GCEvents.log,2026-08-21 10:17:03.543,2026-08-21 10:24:03.439,419.896000,300,GCMonitor log; cross-link heuristic corroboration,21,21,15e238c8b4d88e74b1f67004501cc7e67fa1eb5a3db5bf528fe8f23ab0188001,8f419db2ecd34d7e25c11643215d51fd47d23791499d5084a47fa24e36208477
P9,supermarket,P09/supermarket,05_Data/raw_pseudonymized/baseline/P09/supermarket/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P09/supermarket/UnityLog_GCEvents.log,2026-08-21 10:52:39.458,2026-08-21 11:00:26.900,467.442000,300,GCMonitor log; cross-link heuristic corroboration,10,10,50a20b55b6c12f05678f90426a633d53c7392efb8dab48d9983048c6f24e90ee,11dc95c7740b070e98cd07843ce72fcbe05ed9a5f90e8deafbf4b2f99cd3ec7d
P9,street,P09/street,05_Data/raw_pseudonymized/baseline/P09/street/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P09/street/UnityLog_GCEvents.log,2026-08-21 10:43:42.259,2026-08-21 10:50:23.804,401.545000,300,GCMonitor log; cross-link heuristic corroboration,11,11,7a5c3ff717cdd8f28e22b68d52b7916459c172827cc4afacb3c0a03dec494701,3be0ef87571035166366fb372044a4e26f017e5092cfdbf394284b29288c2ebf
P10,supermarket,P10/supermarket,05_Data/raw_pseudonymized/baseline/P10/supermarket/NetworkPerformance.csv,05_Data/raw_pseudonymized/baseline/P10/supermarket/UnityLog_GCEvents.log,2026-08-21 11:17:25.139,2026-08-21 11:24:22.947,417.808000,300,GCMonitor log; cross-link heuristic corroboration,9,9,1694c6ef4f7d76c2ec5c169fd4eb629447432139c4bd3083fe5a90b8c00fc8f2,c0af6137b7cbf4a486120faca94dc7d04fea1e4a514b4f7bbe609e8ea087ef4e
