scene,link,metric,participants_n,median,q1,q3,minimum,maximum
supermarket,EyeTracking→PC,median_ms,10,2.305000,2.265000,2.377500,2.240000,2.450000
supermarket,EyeTracking→PC,mean_ms,10,2.484275,2.391073,2.552571,2.332593,3.595291
supermarket,EyeTracking→PC,p95_ms,10,3.765000,3.637500,3.997500,3.460000,6.558500
supermarket,EyeTracking→PC,p99_ms,10,5.675000,5.427175,7.408675,5.200000,26.473700
supermarket,EyeTracking→PC,max_ms,10,26.445000,17.250000,50.672500,15.000000,84.320000
supermarket,EyeTracking→PC,gt50_pct,10,0.000000,0.000000,0.005353,0.000000,0.862948
supermarket,EyeTracking→PC,max_gap_ms,10,553.500000,546.250000,565.500000,537.000000,586.000000
supermarket,EyeTracking→PC,nominal_rate_hz,10,92.096667,90.936667,93.120000,90.140000,93.730000
supermarket,EyeTracking→PC,gc_excluded_n,10,940.500000,630.000000,1212.500000,450.000000,1381.000000
supermarket,EyeTracking→PC,invalid_excluded_n,10,0.000000,0.000000,0.750000,0.000000,1.000000
supermarket,EyeTracking→PC,retained_pct,10,96.709376,95.741791,97.793513,95.139451,98.419555
supermarket,MoCap→PC,median_ms,10,7.480000,6.815000,8.045000,6.580000,8.590000
supermarket,MoCap→PC,mean_ms,10,7.596145,7.173997,8.276211,6.665020,8.783326
supermarket,MoCap→PC,p95_ms,10,9.405000,8.790000,10.160000,8.300000,20.480000
supermarket,MoCap→PC,p99_ms,10,10.140000,9.570900,18.245250,8.860000,24.740000
supermarket,MoCap→PC,max_ms,10,27.505000,26.597500,33.030000,19.830000,41.210000
supermarket,MoCap→PC,gt50_pct,10,0.000000,0.000000,0.000000,0.000000,0.000000
supermarket,MoCap→PC,max_gap_ms,10,551.500000,545.000000,565.500000,524.000000,1589.000000
supermarket,MoCap→PC,nominal_rate_hz,10,86.681667,86.119167,87.066667,85.616667,87.916667
supermarket,MoCap→PC,gc_excluded_n,10,888.500000,598.500000,1151.000000,411.000000,1316.000000
supermarket,MoCap→PC,invalid_excluded_n,10,0.000000,0.000000,0.000000,0.000000,0.000000
supermarket,MoCap→PC,retained_pct,10,96.695131,95.736216,97.774463,95.126106,98.447533
supermarket,MoCap→VR,median_ms,10,10.275000,9.835000,10.902500,9.370000,11.580000
supermarket,MoCap→VR,mean_ms,10,10.903056,10.548495,11.870447,9.763843,13.168692
supermarket,MoCap→VR,p95_ms,10,16.090000,14.235000,20.668500,12.490000,23.850000
supermarket,MoCap→VR,p99_ms,10,20.505000,19.689000,24.792500,17.700000,38.312600
supermarket,MoCap→VR,max_ms,10,40.875000,31.665000,48.632500,25.730000,167.880000
supermarket,MoCap→VR,gt50_pct,10,0.000000,0.000000,0.002794,0.000000,0.455758
supermarket,MoCap→VR,max_gap_ms,10,42.000000,38.750000,51.500000,27.000000,1588.000000
supermarket,MoCap→VR,nominal_rate_hz,10,89.956667,89.234167,89.966667,88.200000,89.980000
supermarket,MoCap→VR,gc_excluded_n,10,0.000000,0.000000,0.000000,0.000000,0.000000
supermarket,MoCap→VR,invalid_excluded_n,10,0.000000,0.000000,0.000000,0.000000,0.000000
supermarket,MoCap→VR,retained_pct,10,100.000000,100.000000,100.000000,100.000000,100.000000
supermarket,PC<->VR 状态同步,median_ms,10,31.315000,31.162500,31.705000,27.850000,31.880000
supermarket,PC<->VR 状态同步,mean_ms,10,31.885689,31.654469,32.023824,28.132222,32.239619
supermarket,PC<->VR 状态同步,p95_ms,10,37.155000,36.322500,37.466125,32.080000,38.960000
supermarket,PC<->VR 状态同步,p99_ms,10,40.460000,39.869925,41.117900,35.652400,43.450000
supermarket,PC<->VR 状态同步,max_ms,10,44.875000,44.137500,46.422500,40.050000,51.360000
supermarket,PC<->VR 状态同步,gt50_pct,10,0.000000,0.000000,0.000000,0.000000,0.045788
supermarket,PC<->VR 状态同步,max_gap_ms,10,313.500000,299.750000,340.750000,289.000000,2237.000000
supermarket,PC<->VR 状态同步,nominal_rate_hz,10,53.655000,52.587500,55.790000,50.960000,57.296667
supermarket,PC<->VR 状态同步,gc_excluded_n,10,0.000000,0.000000,0.000000,0.000000,0.000000
supermarket,PC<->VR 状态同步,invalid_excluded_n,10,0.000000,0.000000,0.000000,0.000000,0.000000
supermarket,PC<->VR 状态同步,retained_pct,10,100.000000,100.000000,100.000000,100.000000,100.000000
street,EyeTracking→PC,median_ms,10,2.340000,2.300000,2.392500,2.260000,2.530000
street,EyeTracking→PC,mean_ms,10,2.489353,2.419749,2.613872,2.351949,3.655868
street,EyeTracking→PC,p95_ms,10,3.705000,3.580000,4.165000,3.530000,6.162000
street,EyeTracking→PC,p99_ms,10,5.881650,5.465000,6.492500,5.260000,24.668800
street,EyeTracking→PC,max_ms,10,34.380000,25.405000,71.165000,20.380000,133.280000
street,EyeTracking→PC,gt50_pct,10,0.000000,0.000000,0.132351,0.000000,0.726175
street,EyeTracking→PC,max_gap_ms,10,532.000000,523.250000,560.250000,520.000000,669.000000
street,EyeTracking→PC,nominal_rate_hz,10,92.758333,91.999167,94.194167,90.756667,94.870000
street,EyeTracking→PC,gc_excluded_n,10,854.500000,622.250000,1086.000000,404.000000,1394.000000
street,EyeTracking→PC,invalid_excluded_n,10,0.000000,0.000000,0.000000,0.000000,3.000000
street,EyeTracking→PC,retained_pct,10,97.035563,96.227707,97.832484,95.154001,98.600381
street,MoCap→PC,median_ms,10,7.472500,7.250000,8.122500,6.510000,9.590000
street,MoCap→PC,mean_ms,10,7.520962,7.248231,8.250354,6.531633,9.636696
street,MoCap→PC,p95_ms,10,9.405000,8.855000,9.877500,8.010000,11.270000
street,MoCap→PC,p99_ms,10,10.467250,9.980000,11.803075,8.530000,19.641900
street,MoCap→PC,max_ms,10,26.570000,24.830000,33.122500,22.830000,35.630000
street,MoCap→PC,gt50_pct,10,0.000000,0.000000,0.000000,0.000000,0.000000
street,MoCap→PC,max_gap_ms,10,534.000000,523.000000,573.000000,522.000000,689.000000
street,MoCap→PC,nominal_rate_hz,10,87.001667,86.565833,87.458333,85.610000,88.193333
street,MoCap→PC,gc_excluded_n,10,801.000000,590.250000,1015.000000,372.000000,1311.000000
street,MoCap→PC,invalid_excluded_n,10,0.000000,0.000000,0.000000,0.000000,0.000000
street,MoCap→PC,retained_pct,10,97.033333,96.238712,97.813945,95.143365,98.592562
street,MoCap→VR,median_ms,10,10.295000,10.112500,10.990000,9.440000,12.020000
street,MoCap→VR,mean_ms,10,10.716522,10.569560,11.673902,9.795885,13.347939
street,MoCap→VR,p95_ms,10,15.859250,15.047500,16.606000,14.038000,21.300000
street,MoCap→VR,p99_ms,10,19.976100,18.478300,20.540350,18.047700,38.018800
street,MoCap→VR,max_ms,10,38.140000,30.445000,97.872500,25.260000,267.800000
street,MoCap→VR,gt50_pct,10,0.000000,0.000000,0.025006,0.000000,0.633568
street,MoCap→VR,max_gap_ms,10,37.500000,33.750000,95.000000,28.000000,267.000000
