participant,scene,link,scheme,gc_source,window_samples_n,invalid_all_n,negative_n,missing_latency_n,over_10000_n,gc_window_all_n,invalid_gc_overlap_n,gc_valid_excluded_n,invalid_excluded_after_gc_n,retained_pct,valid_n,median_ms,mean_ms,p95_ms,p99_ms,max_ms,gt50_n,gt50_pct,max_gap_ms,nominal_rate_hz
P1,supermarket,EyeTracking→PC,GC_filtered,cross_link_heuristic,28433,1,1,0,0,1381,0,1381,1,95.1394506383,27051,2.2500000000,2.3617418949,3.5700000000,5.5150000000,16.1700000000,0,0.0000000000,546.0000000000,90.1700000000
P1,supermarket,EyeTracking→PC,GC_retained,cross_link_heuristic,28433,1,1,0,0,1381,0,0,1,99.9964829599,28432,2.2600000000,5.2939603264,4.0745000000,144.8357000000,282.8200000000,546,1.9203714125,291.0000000000,94.7733333333
P1,supermarket,MoCap→PC,GC_filtered,cross_link_heuristic,27001,0,0,0,0,1316,0,1316,0,95.1261064405,25685,6.6900000000,8.3165041853,20.4800000000,24.7400000000,35.0200000000,0,0.0000000000,564.0000000000,85.6166666667
P1,supermarket,MoCap→PC,GC_retained,cross_link_heuristic,27001,0,0,0,0,1316,0,0,0,100.0000000000,27001,6.7300000000,11.4565338321,22.2500000000,159.9500000000,318.6000000000,563,2.0851079590,311.0000000000,90.0033333333
P1,supermarket,MoCap→VR,GC_filtered,cross_link_heuristic,26990,0,0,0,0,0,0,0,0,100.0000000000,26990,9.7400000000,11.8491063357,23.8500000000,29.8111000000,41.8900000000,0,0.0000000000,43.0000000000,89.9666666667
P1,supermarket,MoCap→VR,GC_retained,cross_link_heuristic,26990,0,0,0,0,0,0,0,0,100.0000000000,26990,9.7400000000,11.8491063357,23.8500000000,29.8111000000,41.8900000000,0,0.0000000000,43.0000000000,89.9666666667
P1,supermarket,PC<->VR 状态同步,GC_filtered,cross_link_heuristic,15666,0,0,0,0,0,0,0,0,100.0000000000,15666,31.8800000000,32.0707870548,37.0700000000,42.2400000000,46.5300000000,0,0.0000000000,319.0000000000,52.2200000000
P1,supermarket,PC<->VR 状态同步,GC_retained,cross_link_heuristic,15666,0,0,0,0,0,0,0,0,100.0000000000,15666,31.8800000000,32.0707870548,37.0700000000,42.2400000000,46.5300000000,0,0.0000000000,319.0000000000,52.2200000000
P1,street,EyeTracking→PC,GC_filtered,cross_link_heuristic,28766,0,0,0,0,1394,0,1394,0,95.1540012515,27372,2.3600000000,2.4751691510,3.7200000000,5.8800000000,22.0400000000,0,0.0000000000,525.0000000000,91.2400000000
P1,street,EyeTracking→PC,GC_retained,cross_link_heuristic,28766,0,0,0,0,1394,0,0,0,100.0000000000,28766,2.3700000000,5.4101720781,4.2600000000,145.5365000000,257.4600000000,552,1.9189320726,264.0000000000,95.8866666667
P1,street,MoCap→PC,GC_filtered,cross_link_heuristic,26994,0,0,0,0,1311,0,1311,0,95.1433651923,25683,6.8600000000,6.9510606238,8.5700000000,13.8018000000,26.9900000000,0,0.0000000000,523.0000000000,85.6100000000
P1,street,MoCap→PC,GC_retained,cross_link_heuristic,26994,0,0,0,0,1311,0,0,0,100.0000000000,26994,6.8900000000,10.0660142995,8.9400000000,155.8828000000,262.8900000000,558,2.0671260280,267.0000000000,89.9800000000
P1,street,MoCap→VR,GC_filtered,cross_link_heuristic,26985,0,0,0,0,0,0,0,0,100.0000000000,26985,9.4400000000,9.7958847508,14.0380000000,18.2300000000,26.5000000000,0,0.0000000000,68.0000000000,89.9500000000
P1,street,MoCap→VR,GC_retained,cross_link_heuristic,26985,0,0,0,0,0,0,0,0,100.0000000000,26985,9.4400000000,9.7958847508,14.0380000000,18.2300000000,26.5000000000,0,0.0000000000,68.0000000000,89.9500000000
P1,street,PC<->VR 状态同步,GC_filtered,cross_link_heuristic,17200,0,0,0,0,0,0,0,0,100.0000000000,17200,29.1800000000,30.0489622093,37.2900000000,43.0400000000,56.1400000000,59,0.3430232558,524.0000000000,57.3333333333
P1,street,PC<->VR 状态同步,GC_retained,cross_link_heuristic,17200,0,0,0,0,0,0,0,0,100.0000000000,17200,29.1800000000,30.0489622093,37.2900000000,43.0400000000,56.1400000000,59,0.3430232558,524.0000000000,57.3333333333
P2,supermarket,EyeTracking→PC,GC_filtered,cross_link_heuristic,28745,0,0,0,0,1009,0,1009,0,96.4898243173,27736,2.2400000000,2.3325933804,3.4600000000,5.2000000000,16.9700000000,0,0.0000000000,544.0000000000,92.4533333333
P2,supermarket,EyeTracking→PC,GC_retained,cross_link_heuristic,28745,0,0,0,0,1009,0,0,0,100.0000000000,28745,2.2500000000,4.4916155853,3.7400000000,106.1680000000,279.6500000000,406,1.4124195512,288.0000000000,95.8166666667
P2,supermarket,MoCap→PC,GC_filtered,cross_link_heuristic,26997,0,0,0,0,952,0,952,0,96.4736822610,26045,6.7300000000,6.7495319639,8.3000000000,8.8600000000,19.8300000000,0,0.0000000000,546.0000000000,86.8166666667
P2,supermarket,MoCap→PC,GC_retained,cross_link_heuristic,26997,0,0,0,0,952,0,0,0,100.0000000000,26997,6.7500000000,9.0744601252,8.4600000000,121.8036000000,285.0900000000,412,1.5260954921,291.0000000000,89.9900000000
P2,supermarket,MoCap→VR,GC_filtered,cross_link_heuristic,26994,0,0,0,0,0,0,0,0,100.0000000000,26994,9.4800000000,9.7638430762,12.4900000000,17.7000000000,40.8200000000,0,0.0000000000,41.0000000000,89.9800000000
P2,supermarket,MoCap→VR,GC_retained,cross_link_heuristic,26994,0,0,0,0,0,0,0,0,100.0000000000,26994,9.4800000000,9.7638430762,12.4900000000,17.7000000000,40.8200000000,0,0.0000000000,41.0000000000,89.9800000000
P2,supermarket,PC<->VR 状态同步,GC_filtered,cross_link_heuristic,17189,0,0,0,0,0,0,0,0,100.0000000000,17189,27.8500000000,28.1322223515,32.0800000000,35.6524000000,40.0500000000,0,0.0000000000,296.0000000000,57.2966666667
P2,supermarket,PC<->VR 状态同步,GC_retained,cross_link_heuristic,17189,0,0,0,0,0,0,0,0,100.0000000000,17189,27.8500000000,28.1322223515,32.0800000000,35.6524000000,40.0500000000,0,0.0000000000,296.0000000000,57.2966666667
P2,street,EyeTracking→PC,GC_filtered,cross_link_heuristic,28416,3,3,0,0,1186,0,1186,3,95.8157376126,27227,2.2700000000,2.3918485327,3.6900000000,5.5100000000,24.0400000000,0,0.0000000000,522.0000000000,90.7566666667
P2,street,EyeTracking→PC,GC_retained,cross_link_heuristic,28416,3,3,0,0,1186,0,0,3,99.9894425676,28413,2.2900000000,4.8950783092,4.0900000000,127.4600000000,253.1500000000,469,1.6506528702,260.0000000000,94.7100000000
