scheme,scene,link,metric,participants_n,median,q1,q3,minimum,maximum,sum
GC_filtered,supermarket,EyeTracking→PC,median_ms,10,2.3050000000,2.2650000000,2.3775000000,2.2400000000,2.4500000000,23.2300000000
GC_filtered,supermarket,EyeTracking→PC,p95_ms,10,3.7650000000,3.6375000000,3.9975000000,3.4600000000,6.5585000000,41.0985000000
GC_filtered,supermarket,EyeTracking→PC,p99_ms,10,5.6750000000,5.4271750000,7.4086750000,5.2000000000,26.4737000000,86.9752000000
GC_filtered,supermarket,EyeTracking→PC,max_ms,10,26.4450000000,17.2500000000,50.6725000000,15.0000000000,84.3200000000,363.6200000000
GC_filtered,supermarket,EyeTracking→PC,gt50_pct,10,0.0000000000,0.0000000000,0.0053527460,0.0000000000,0.8629478590,1.0096880865
GC_filtered,supermarket,EyeTracking→PC,retained_pct,10,96.7093764821,95.7417911482,97.7935126591,95.1394506383,98.4195553682,967.8352727537
GC_filtered,supermarket,EyeTracking→PC,gc_valid_excluded_n,10,940.5000000000,630.0000000000,1212.5000000000,450.0000000000,1381.0000000000,9166.0000000000
GC_filtered,supermarket,EyeTracking→PC,gc_window_all_n,10,940.5000000000,630.0000000000,1212.5000000000,450.0000000000,1381.0000000000,9166.0000000000
GC_filtered,supermarket,EyeTracking→PC,invalid_all_n,10,0.0000000000,0.0000000000,0.7500000000,0.0000000000,1.0000000000,3.0000000000
GC_retained,supermarket,EyeTracking→PC,median_ms,10,2.3150000000,2.2800000000,2.3875000000,2.2500000000,2.4600000000,23.3300000000
GC_retained,supermarket,EyeTracking→PC,p95_ms,10,4.2777500000,3.8911250000,4.4500000000,3.7400000000,11.4885000000,49.6425000000
GC_retained,supermarket,EyeTracking→PC,p99_ms,10,95.0860500000,34.8450500000,135.1687750000,8.6596000000,154.0458000000,854.1659000000
GC_retained,supermarket,EyeTracking→PC,max_ms,10,281.6200000000,275.3225000000,289.6025000000,265.1100000000,314.7100000000,2834.5100000000
GC_retained,supermarket,EyeTracking→PC,gt50_pct,10,1.3260590395,0.9465263618,1.9311941747,0.6672988445,2.3281053074,14.0725647569
GC_retained,supermarket,EyeTracking→PC,retained_pct,10,100.0000000000,99.9973657406,100.0000000000,99.9964829599,100.0000000000,999.9894561697
GC_retained,supermarket,EyeTracking→PC,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,EyeTracking→PC,gc_window_all_n,10,940.5000000000,630.0000000000,1212.5000000000,450.0000000000,1381.0000000000,9166.0000000000
GC_retained,supermarket,EyeTracking→PC,invalid_all_n,10,0.0000000000,0.0000000000,0.7500000000,0.0000000000,1.0000000000,3.0000000000
GC_filtered,supermarket,MoCap→PC,median_ms,10,7.4800000000,6.8150000000,8.0450000000,6.5800000000,8.5900000000,74.6500000000
GC_filtered,supermarket,MoCap→PC,p95_ms,10,9.4050000000,8.7900000000,10.1600000000,8.3000000000,20.4800000000,104.2400000000
GC_filtered,supermarket,MoCap→PC,p99_ms,10,10.1400000000,9.5709000000,18.2452500000,8.8600000000,24.7400000000,135.6306000000
GC_filtered,supermarket,MoCap→PC,max_ms,10,27.5050000000,26.5975000000,33.0300000000,19.8300000000,41.2100000000,296.8000000000
