participant,scene,folder,raw_csv,unity_log,common_start,common_end,common_duration_s,analysis_window_s,gc_source,gc_events_used,heuristic_events,raw_csv_sha256,unity_log_sha256
P1,supermarket,2026-08-20_10-31-03-zcw-super,D:\视觉行为平台\test_2\2026-08-20_10-31-03-zcw-super\NetworkPerformance_20260820_103104.csv,,2026-08-20 10:31:13.010,2026-08-20 10:37:46.956,393.946000,300,Validated cross-link heuristic; session log unavailable,29,29,ecc98369de6923cd43b54ff72d8e28588a7c030d2e0fdb5308ee76cf9be64dfe,
P1,street,2026-08-20_10-39-11-zcw-street,D:\视觉行为平台\test_2\2026-08-20_10-39-11-zcw-street\NetworkPerformance_20260820_103912.csv,,2026-08-20 10:39:12.478,2026-08-20 10:45:22.777,370.299000,300,Validated cross-link heuristic; session log unavailable,29,29,a4c9451b2feeb2f4f465e2837f7c1dc9cc26757320ce5217acc0a6b98dbb3892,
P2,supermarket,2026-08-20_11-01-59-jxm-super,D:\视觉行为平台\test_2\2026-08-20_11-01-59-jxm-super\NetworkPerformance_20260820_110200.csv,,2026-08-20 11:02:00.260,2026-08-20 11:08:27.125,386.865000,300,Validated cross-link heuristic; session log unavailable,21,21,cefb05af8b8c9886af939ce25a961f10981b9c495517c6236f36ce1796552bf6,
P2,street,2026-08-20_10-54-42-jxm-street,D:\视觉行为平台\test_2\2026-08-20_10-54-42-jxm-street\NetworkPerformance_20260820_105442.csv,,2026-08-20 10:54:42.724,2026-08-20 11:01:12.933,390.209000,300,Validated cross-link heuristic; session log unavailable,25,25,1ee73341da30b916c4cb1629a77f3c29a501dc36ccfc7051144e3c971e2b92c6,
P3,supermarket,2026-08-20_12-45-56-yc-super,D:\视觉行为平台\test_2\2026-08-20_12-45-56-yc-super\NetworkPerformance_20260820_124557.csv,,2026-08-20 12:45:57.170,2026-08-20 12:51:59.683,362.513000,300,Validated cross-link heuristic; session log unavailable,23,23,bd36e25bdeb5631d0001d37c01e561379bb6fa13a53a97f2fdb52cfe5818a98b,
P3,street,2026-08-20_12-53-39-yc-street,D:\视觉行为平台\test_2\2026-08-20_12-53-39-yc-street\NetworkPerformance_20260820_125339.csv,D:\视觉行为平台\test_2\2026-08-20_12-53-39-yc-street\Editor\Editor.log,2026-08-20 12:53:39.910,2026-08-20 12:59:52.906,372.996000,300,GCMonitor log; cross-link heuristic corroboration,19,19,e85d0f61dccf32d2f30df6a9240b8cc6ecc837a1b128d5271b1c88411660d6ca,9d1e05aa4a0b12011435ce7911560ba8240b5ae74a50fb135b22cc710e4f9bcd
P4,supermarket,2026-08-20_14-27-22_zcw-super2,D:\视觉行为平台\test_2\2026-08-20_14-27-22_zcw-super2\NetworkPerformance_20260820_142723.csv,D:\视觉行为平台\test_2\2026-08-20_14-27-22_zcw-super2\UnityLog_20260820_142722_753.log,2026-08-20 14:27:23.316,2026-08-20 14:33:36.173,372.857000,300,GCMonitor log; cross-link heuristic corroboration,25,25,d42d57f741f72e27c964a58dccdc5542a84abee8e6a609ad4490a8875c91360c,9340f32c927e4668ef679a3bb8369adaef117939c675488823839fb8319284d8
P4,street,2026-08-20_14-36-50_zcw-street2,D:\视觉行为平台\test_2\2026-08-20_14-36-50_zcw-street2\NetworkPerformance_20260820_143650.csv,D:\视觉行为平台\test_2\2026-08-20_14-36-50_zcw-street2\UnityLog_20260820_143650_313.log,2026-08-20 14:36:50.926,2026-08-20 14:43:26.881,395.955000,300,GCMonitor log; cross-link heuristic corroboration,15,15,5f0311b67d7eef233a14a7ffc308696733a3beab4e4b0eacd604cf85d731dc71,d9f359c45cd6bd563062192cec47c76e5bb48f020adb1273950acbcb01aa8aa3
P5,supermarket,2026-08-20_15-24-36-jxm-super2,D:\视觉行为平台\test_2\2026-08-20_15-24-36-jxm-super2\NetworkPerformance_20260820_152437.csv,D:\视觉行为平台\test_2\2026-08-20_15-24-36-jxm-super2\UnityLog_20260820_152436_591.log,2026-08-20 15:24:37.221,2026-08-20 15:31:00.622,383.401000,300,GCMonitor log; cross-link heuristic corroboration,27,27,0d0a6f4a3b907e395e155890063e2127dab3c5de6f253b206cf6a3f3f32b630f,bfc2075cbf04f9c69e86ab2b70933ceda518cfca5ab84e34ed4167aab7cf6640
P5,street,2026-08-20_15-32-59-jxm-street2,D:\视觉行为平台\test_2\2026-08-20_15-32-59-jxm-street2\NetworkPerformance_20260820_153300.csv,D:\视觉行为平台\test_2\2026-08-20_15-32-59-jxm-street2\UnityLog_20260820_153259_495.log,2026-08-20 15:33:00.057,2026-08-20 15:39:18.136,378.079000,300,GCMonitor log; cross-link heuristic corroboration,23,23,de7c56eaf408ce39d7e013e04116b728fd03833c83e43dd0b4eef6e767d8e6a6,421ca3eda1cec8a1fe060383be05c58566d17c0d45fb8a18700023e7ae6823df
P6,supermarket,2026-08-20_15-54-12-yza-super,D:\视觉行为平台\test_2\2026-08-20_15-54-12-yza-super\NetworkPerformance_20260820_155413.csv,D:\视觉行为平台\test_2\2026-08-20_15-54-12-yza-super\UnityLog_20260820_155412_797.log,2026-08-20 15:54:13.416,2026-08-20 15:59:43.671,330.255000,300,GCMonitor log; cross-link heuristic corroboration,13,13,153c3d5e88fdbb84fe4aad89f553c6b48e427c492dfbd8b063f5eec8d7613746,ed5ed665d14a60c1642941d57372bc50292ee3edb909157a91ea0bb5ab656145
P6,street,2026-08-20_16-02-08-yza-street,D:\视觉行为平台\test_2\2026-08-20_16-02-08-yza-street\NetworkPerformance_20260820_160208.csv,D:\视觉行为平台\test_2\2026-08-20_16-02-08-yza-street\UnityLog_20260820_160208_127.log,2026-08-20 16:02:08.683,2026-08-20 16:08:15.663,366.980000,300,GCMonitor log; cross-link heuristic corroboration,15,15,cc0b694214cd7cc435d71686a6d778c448ac1aca51d9b56d7abad5e652a2ece1,e0a7e6ac89557f9608a55536ae815468955203b8ad3390c2a4ddd936066bbaf6
P7,supermarket,2026-08-21_09-50-56-jxm-super,D:\视觉行为平台\test_2\2026-08-21_09-50-56-jxm-super\NetworkPerformance_20260821_095056.csv,D:\视觉行为平台\test_2\2026-08-21_09-50-56-jxm-super\UnityLog_20260821_095056_098.log,2026-08-21 09:50:56.740,2026-08-21 09:56:52.827,356.087000,300,GCMonitor log; cross-link heuristic corroboration,12,12,a2cf074fd18b99e28000ce64007c1495ac8d25c0876eebe0277bae3e96f1854a,1c747ae8da1afeb3904697798fd69837bc6454a28e1c0a3f187eec0e656d7639
P7,street,2026-08-21_09-41-48-jxm-street,D:\视觉行为平台\test_2\2026-08-21_09-41-48-jxm-street\NetworkPerformance_20260821_094149.csv,D:\视觉行为平台\test_2\2026-08-21_09-41-48-jxm-street\UnityLog_20260821_094148_529.log,2026-08-21 09:41:49.213,2026-08-21 09:47:09.195,319.982000,300,GCMonitor log; cross-link heuristic corroboration,11,11,9a6b0329e254e78fc64b7d8dbf8622215d19c23e02dcbacbb692f1466aab5dae,955315c839d059f1c26db67a4e4686bf68578c88b74e02060baa9c6cc60b646c
P8,supermarket,2026-08-21_10-28-53-yxs-super,D:\视觉行为平台\test_2\2026-08-21_10-28-53-yxs-super\NetworkPerformance_20260821_102853.csv,D:\视觉行为平台\test_2\2026-08-21_10-28-53-yxs-super\UnityLog_20260821_102853_029.log,2026-08-21 10:28:53.657,2026-08-21 10:35:23.177,389.520000,300,GCMonitor log; cross-link heuristic corroboration,18,18,201f04197a67439f6fea426a67fceb6331ee10bad11d9930ec52e06e6877b222,4fa06eca4b97ff2e82c401cf1977ea7efd131d2f12bc1f753f9ab52a8fe7d4e2
P8,street,2026-08-21_10-17-02-yxs-street,D:\视觉行为平台\test_2\2026-08-21_10-17-02-yxs-street\NetworkPerformance_20260821_101703.csv,D:\视觉行为平台\test_2\2026-08-21_10-17-02-yxs-street\UnityLog_20260821_101702_922.log,2026-08-21 10:17:03.543,2026-08-21 10:24:03.439,419.896000,300,GCMonitor log; cross-link heuristic corroboration,21,21,15e238c8b4d88e74b1f67004501cc7e67fa1eb5a3db5bf528fe8f23ab0188001,183b144cb3275388d9ad2649d8f8f52653c7091284ab946ebc751a3afb5f6f20
P9,supermarket,2026-08-21_10-52-38-lzh-super,D:\视觉行为平台\test_2\2026-08-21_10-52-38-lzh-super\NetworkPerformance_20260821_105239.csv,D:\视觉行为平台\test_2\2026-08-21_10-52-38-lzh-super\UnityLog_20260821_105238_830.log,2026-08-21 10:52:39.458,2026-08-21 11:00:26.900,467.442000,300,GCMonitor log; cross-link heuristic corroboration,10,10,50a20b55b6c12f05678f90426a633d53c7392efb8dab48d9983048c6f24e90ee,7fcb7796dd8a090e4d6e0fa5fb2fbe23f7f4bab1c8f1915f34cc36d767fae0d0
P9,street,2026-08-21_10-43-41-lzh-street,D:\视觉行为平台\test_2\2026-08-21_10-43-41-lzh-street\NetworkPerformance_20260821_104342.csv,D:\视觉行为平台\test_2\2026-08-21_10-43-41-lzh-street\UnityLog_20260821_104341_658.log,2026-08-21 10:43:42.259,2026-08-21 10:50:23.804,401.545000,300,GCMonitor log; cross-link heuristic corroboration,11,11,7a5c3ff717cdd8f28e22b68d52b7916459c172827cc4afacb3c0a03dec494701,337f561550aec5aeab8f941fee9c0449e545790d25826815aa4849308aabe7b0
P10,supermarket,2026-08-21_11-17-24-zcw-super,D:\视觉行为平台\test_2\2026-08-21_11-17-24-zcw-super\NetworkPerformance_20260821_111725.csv,D:\视觉行为平台\test_2\2026-08-21_11-17-24-zcw-super\UnityLog_20260821_111724_567.log,2026-08-21 11:17:25.139,2026-08-21 11:24:22.947,417.808000,300,GCMonitor log; cross-link heuristic corroboration,9,9,1694c6ef4f7d76c2ec5c169fd4eb629447432139c4bd3083fe5a90b8c00fc8f2,0fddf908b9a988109b599be18d971429936c31d5067eccc9ebf3386157c2562e
P10,street,2026-08-21_11-09-17-zcw-street,D:\视觉行为平台\test_2\2026-08-21_11-09-17-zcw-street\NetworkPerformance_20260821_110917.csv,D:\视觉行为平台\test_2\2026-08-21_11-09-17-zcw-street\UnityLog_20260821_110917_241.log,2026-08-21 11:09:17.847,2026-08-21 11:15:23.412,365.565000,300,GCMonitor log; cross-link heuristic corroboration,8,8,8f465b42d53f379266a5ed63d30eacbfac7328037585c21e2310ffc38ee5717f,ce9ff8afd7047c312185e572aaea594ed4d473ba5bb6846cea7b9b0f85d0ee0d
