序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
1,2026-08-21 09:41:49.206,2026-08-21 09:41:49.205,MoCap→PC,5.44,0.30,0.00,3.98,9.80,6.26,8.86,9.68,5.44,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
2,2026-08-21 09:41:49.208,2026-08-21 09:41:49.166,PC<->VR 状态同步,42.69,0.45,0.00,39.21,43.93,42.96,43.93,43.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55280.646,4.327,22.3,3.177,5
3,2026-08-21 09:41:49.213,2026-08-21 09:41:49.211,EyeTracking→PC,1.88,0.92,0.00,1.88,2.72,2.47,2.69,2.71,1.88,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55280.646,4.327,28.2,3.177,5
4,2026-08-21 09:41:49.217,2026-08-21 09:41:49.175,PC<->VR 状态同步,42.69,0.39,0.00,39.21,43.93,42.96,43.93,43.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55280.646,4.327,31.0,3.177,5
5,2026-08-21 09:41:49.218,2026-08-21 09:41:49.216,MoCap→PC,7.02,0.30,0.00,3.98,9.80,6.37,8.86,9.68,7.02,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
6,2026-08-21 09:41:49.224,2026-08-21 09:41:49.221,EyeTracking→PC,2.55,0.92,0.00,1.88,2.72,2.51,2.69,2.71,2.55,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55280.646,4.327,38.9,3.177,5
7,2026-08-21 09:41:49.230,2026-08-21 09:41:49.228,MoCap→PC,6.85,0.36,0.00,3.98,9.80,6.41,8.85,9.68,6.85,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
8,2026-08-21 09:41:49.234,2026-08-21 09:41:49.231,EyeTracking→PC,2.66,0.92,0.00,1.88,2.72,2.55,2.71,2.71,2.66,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55280.646,4.327,49.1,3.177,5
9,2026-08-21 09:41:49.237,2026-08-21 09:41:49.195,PC<->VR 状态同步,42.69,0.31,0.00,39.21,43.93,42.96,43.93,43.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55280.646,4.327,50.9,3.177,5
10,2026-08-21 09:41:49.241,2026-08-21 09:41:49.239,MoCap→PC,6.88,0.30,0.00,3.98,9.80,6.44,8.85,9.67,6.88,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
