participant,scene,folder,link,window_samples_n,gc_excluded_n,gc_excluded_pct,invalid_excluded_n,invalid_excluded_pct,retained_n,retained_pct
P1,supermarket,P01/supermarket,EyeTracking→PC,28433,1381,4.857032,1,0.003517,27051,95.139451
P1,supermarket,P01/supermarket,MoCap→PC,27001,1316,4.873894,0,0.000000,25685,95.126106
P1,supermarket,P01/supermarket,MoCap→VR,26990,0,0.000000,0,0.000000,26990,100.000000
P1,supermarket,P01/supermarket,PC<->VR 状态同步,15666,0,0.000000,0,0.000000,15666,100.000000
P1,street,P01/street,EyeTracking→PC,28766,1394,4.845999,0,0.000000,27372,95.154001
P1,street,P01/street,MoCap→PC,26994,1311,4.856635,0,0.000000,25683,95.143365
P1,street,P01/street,MoCap→VR,26985,0,0.000000,0,0.000000,26985,100.000000
P1,street,P01/street,PC<->VR 状态同步,17200,0,0.000000,0,0.000000,17200,100.000000
P2,supermarket,P02/supermarket,EyeTracking→PC,28745,1009,3.510176,0,0.000000,27736,96.489824
P2,supermarket,P02/supermarket,MoCap→PC,26997,952,3.526318,0,0.000000,26045,96.473682
P2,supermarket,P02/supermarket,MoCap→VR,26994,0,0.000000,0,0.000000,26994,100.000000
P2,supermarket,P02/supermarket,PC<->VR 状态同步,17189,0,0.000000,0,0.000000,17189,100.000000
P2,street,P02/street,EyeTracking→PC,28416,1186,4.173705,3,0.010557,27227,95.815738
P2,street,P02/street,MoCap→PC,27000,1129,4.181481,0,0.000000,25871,95.818519
P2,street,P02/street,MoCap→VR,26994,0,0.000000,0,0.000000,26994,100.000000
P2,street,P02/street,PC<->VR 状态同步,17259,0,0.000000,0,0.000000,17259,100.000000
P3,supermarket,P03/supermarket,EyeTracking→PC,28564,1100,3.851001,0,0.000000,27464,96.148999
P3,supermarket,P03/supermarket,MoCap→PC,27001,1037,3.840598,0,0.000000,25964,96.159402
P3,supermarket,P03/supermarket,MoCap→VR,26988,0,0.000000,0,0.000000,26988,100.000000
P3,supermarket,P03/supermarket,PC<->VR 状态同步,17158,0,0.000000,0,0.000000,17158,100.000000
P3,street,P03/street,EyeTracking→PC,28732,915,3.184603,0,0.000000,27817,96.815397
P3,street,P03/street,MoCap→PC,27000,858,3.177778,0,0.000000,26142,96.822222
P3,street,P03/street,MoCap→VR,26990,0,0.000000,0,0.000000,26990,100.000000
P3,street,P03/street,PC<->VR 状态同步,17111,0,0.000000,0,0.000000,17111,100.000000
P4,supermarket,P04/supermarket,EyeTracking→PC,28471,1250,4.390432,1,0.003512,27220,95.606055
P4,supermarket,P04/supermarket,MoCap→PC,26993,1189,4.404846,0,0.000000,25804,95.595154
