scene,link,bin_seconds,participant,elapsed_s,latency_ms,q1_ms,q3_ms,n_available
supermarket,EyeTracking→PC,1,P1,0.500000,2.480000,,,1
supermarket,EyeTracking→PC,1,P1,1.500000,2.550000,,,1
supermarket,EyeTracking→PC,1,P1,2.500000,2.660000,,,1
supermarket,EyeTracking→PC,1,P1,3.500000,2.630000,,,1
supermarket,EyeTracking→PC,1,P1,4.500000,2.660000,,,1
supermarket,EyeTracking→PC,1,P1,5.500000,2.560000,,,1
supermarket,EyeTracking→PC,1,P1,6.500000,2.455000,,,1
supermarket,EyeTracking→PC,1,P1,7.500000,2.540000,,,1
supermarket,EyeTracking→PC,1,P1,8.500000,2.490000,,,1
supermarket,EyeTracking→PC,1,P1,9.500000,2.405000,,,1
supermarket,EyeTracking→PC,1,P1,10.500000,2.380000,,,1
supermarket,EyeTracking→PC,1,P1,11.500000,2.565000,,,1
supermarket,EyeTracking→PC,1,P1,12.500000,2.590000,,,1
supermarket,EyeTracking→PC,1,P1,13.500000,2.470000,,,1
supermarket,EyeTracking→PC,1,P1,14.500000,2.500000,,,1
supermarket,EyeTracking→PC,1,P1,15.500000,2.610000,,,1
supermarket,EyeTracking→PC,1,P1,16.500000,2.430000,,,1
supermarket,EyeTracking→PC,1,P1,17.500000,2.560000,,,1
supermarket,EyeTracking→PC,1,P1,18.500000,2.465000,,,1
supermarket,EyeTracking→PC,1,P1,19.500000,2.380000,,,1
supermarket,EyeTracking→PC,1,P1,20.500000,2.380000,,,1
supermarket,EyeTracking→PC,1,P1,21.500000,2.400000,,,1
supermarket,EyeTracking→PC,1,P1,22.500000,2.360000,,,1
supermarket,EyeTracking→PC,1,P1,23.500000,2.350000,,,1
supermarket,EyeTracking→PC,1,P1,24.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,25.500000,2.250000,,,1
supermarket,EyeTracking→PC,1,P1,26.500000,2.270000,,,1
supermarket,EyeTracking→PC,1,P1,27.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,28.500000,2.175000,,,1
supermarket,EyeTracking→PC,1,P1,29.500000,2.100000,,,1
supermarket,EyeTracking→PC,1,P1,30.500000,2.150000,,,1
supermarket,EyeTracking→PC,1,P1,31.500000,2.340000,,,1
supermarket,EyeTracking→PC,1,P1,32.500000,2.520000,,,1
supermarket,EyeTracking→PC,1,P1,33.500000,2.340000,,,1
supermarket,EyeTracking→PC,1,P1,34.500000,2.540000,,,1
supermarket,EyeTracking→PC,1,P1,35.500000,2.375000,,,1
supermarket,EyeTracking→PC,1,P1,36.500000,2.290000,,,1
supermarket,EyeTracking→PC,1,P1,37.500000,2.255000,,,1
supermarket,EyeTracking→PC,1,P1,38.500000,2.100000,,,1
supermarket,EyeTracking→PC,1,P1,39.500000,2.190000,,,1
supermarket,EyeTracking→PC,1,P1,40.500000,2.160000,,,1
supermarket,EyeTracking→PC,1,P1,41.500000,2.400000,,,1
supermarket,EyeTracking→PC,1,P1,42.500000,2.430000,,,1
supermarket,EyeTracking→PC,1,P1,43.500000,2.430000,,,1
supermarket,EyeTracking→PC,1,P1,44.500000,2.380000,,,1
supermarket,EyeTracking→PC,1,P1,45.500000,2.240000,,,1
supermarket,EyeTracking→PC,1,P1,46.500000,2.180000,,,1
supermarket,EyeTracking→PC,1,P1,47.500000,2.220000,,,1
supermarket,EyeTracking→PC,1,P1,48.500000,2.165000,,,1
supermarket,EyeTracking→PC,1,P1,49.500000,2.210000,,,1
supermarket,EyeTracking→PC,1,P1,50.500000,2.015000,,,1
supermarket,EyeTracking→PC,1,P1,51.500000,2.400000,,,1
supermarket,EyeTracking→PC,1,P1,52.500000,2.470000,,,1
supermarket,EyeTracking→PC,1,P1,53.500000,2.450000,,,1
supermarket,EyeTracking→PC,1,P1,54.500000,2.450000,,,1
supermarket,EyeTracking→PC,1,P1,55.500000,2.525000,,,1
supermarket,EyeTracking→PC,1,P1,56.500000,2.285000,,,1
supermarket,EyeTracking→PC,1,P1,57.500000,2.415000,,,1
supermarket,EyeTracking→PC,1,P1,58.500000,2.225000,,,1
supermarket,EyeTracking→PC,1,P1,59.500000,2.240000,,,1
supermarket,EyeTracking→PC,1,P1,60.500000,2.250000,,,1
supermarket,EyeTracking→PC,1,P1,61.500000,2.165000,,,1
supermarket,EyeTracking→PC,1,P1,62.500000,2.410000,,,1
supermarket,EyeTracking→PC,1,P1,63.500000,2.285000,,,1
supermarket,EyeTracking→PC,1,P1,64.500000,2.130000,,,1
supermarket,EyeTracking→PC,1,P1,65.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,66.500000,2.270000,,,1
supermarket,EyeTracking→PC,1,P1,67.500000,2.190000,,,1
supermarket,EyeTracking→PC,1,P1,68.500000,2.095000,,,1
supermarket,EyeTracking→PC,1,P1,69.500000,2.150000,,,1
supermarket,EyeTracking→PC,1,P1,70.500000,1.980000,,,1
supermarket,EyeTracking→PC,1,P1,71.500000,2.170000,,,1
supermarket,EyeTracking→PC,1,P1,72.500000,2.120000,,,1
supermarket,EyeTracking→PC,1,P1,73.500000,2.040000,,,1
supermarket,EyeTracking→PC,1,P1,74.500000,1.960000,,,1
supermarket,EyeTracking→PC,1,P1,75.500000,1.960000,,,1
supermarket,EyeTracking→PC,1,P1,76.500000,1.995000,,,1
supermarket,EyeTracking→PC,1,P1,77.500000,1.820000,,,1
supermarket,EyeTracking→PC,1,P1,78.500000,1.810000,,,1
supermarket,EyeTracking→PC,1,P1,79.500000,1.870000,,,1
supermarket,EyeTracking→PC,1,P1,80.500000,1.830000,,,1
supermarket,EyeTracking→PC,1,P1,81.500000,2.370000,,,1
supermarket,EyeTracking→PC,1,P1,82.500000,2.595000,,,1
supermarket,EyeTracking→PC,1,P1,83.500000,2.600000,,,1
supermarket,EyeTracking→PC,1,P1,84.500000,2.510000,,,1
supermarket,EyeTracking→PC,1,P1,85.500000,2.430000,,,1
supermarket,EyeTracking→PC,1,P1,86.500000,2.420000,,,1
supermarket,EyeTracking→PC,1,P1,87.500000,2.430000,,,1
supermarket,EyeTracking→PC,1,P1,88.500000,2.485000,,,1
supermarket,EyeTracking→PC,1,P1,89.500000,2.340000,,,1
supermarket,EyeTracking→PC,1,P1,90.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P1,91.500000,2.480000,,,1
supermarket,EyeTracking→PC,1,P1,92.500000,2.420000,,,1
supermarket,EyeTracking→PC,1,P1,93.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,94.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P1,95.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P1,96.500000,2.355000,,,1
supermarket,EyeTracking→PC,1,P1,97.500000,2.290000,,,1
supermarket,EyeTracking→PC,1,P1,98.500000,2.090000,,,1
supermarket,EyeTracking→PC,1,P1,99.500000,2.090000,,,1
supermarket,EyeTracking→PC,1,P1,100.500000,2.090000,,,1
supermarket,EyeTracking→PC,1,P1,101.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P1,102.500000,2.410000,,,1
supermarket,EyeTracking→PC,1,P1,103.500000,2.440000,,,1
supermarket,EyeTracking→PC,1,P1,104.500000,2.450000,,,1
supermarket,EyeTracking→PC,1,P1,105.500000,2.350000,,,1
supermarket,EyeTracking→PC,1,P1,106.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P1,107.500000,2.360000,,,1
supermarket,EyeTracking→PC,1,P1,108.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P1,109.500000,2.225000,,,1
supermarket,EyeTracking→PC,1,P1,110.500000,2.170000,,,1
supermarket,EyeTracking→PC,1,P1,111.500000,2.270000,,,1
supermarket,EyeTracking→PC,1,P1,112.500000,2.550000,,,1
supermarket,EyeTracking→PC,1,P1,113.500000,2.370000,,,1
supermarket,EyeTracking→PC,1,P1,114.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P1,115.500000,2.400000,,,1
supermarket,EyeTracking→PC,1,P1,116.500000,2.315000,,,1
supermarket,EyeTracking→PC,1,P1,117.500000,2.185000,,,1
supermarket,EyeTracking→PC,1,P1,118.500000,2.180000,,,1
supermarket,EyeTracking→PC,1,P1,119.500000,2.200000,,,1
supermarket,EyeTracking→PC,1,P1,120.500000,2.160000,,,1
supermarket,EyeTracking→PC,1,P1,121.500000,2.445000,,,1
supermarket,EyeTracking→PC,1,P1,122.500000,2.410000,,,1
supermarket,EyeTracking→PC,1,P1,123.500000,2.380000,,,1
supermarket,EyeTracking→PC,1,P1,124.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,125.500000,2.305000,,,1
supermarket,EyeTracking→PC,1,P1,126.500000,2.260000,,,1
supermarket,EyeTracking→PC,1,P1,127.500000,2.175000,,,1
supermarket,EyeTracking→PC,1,P1,128.500000,2.045000,,,1
supermarket,EyeTracking→PC,1,P1,129.500000,2.130000,,,1
supermarket,EyeTracking→PC,1,P1,130.500000,2.000000,,,1
supermarket,EyeTracking→PC,1,P1,131.500000,2.290000,,,1
supermarket,EyeTracking→PC,1,P1,132.500000,2.410000,,,1
supermarket,EyeTracking→PC,1,P1,133.500000,2.500000,,,1
supermarket,EyeTracking→PC,1,P1,134.500000,2.305000,,,1
supermarket,EyeTracking→PC,1,P1,135.500000,2.410000,,,1
supermarket,EyeTracking→PC,1,P1,136.500000,2.390000,,,1
supermarket,EyeTracking→PC,1,P1,137.500000,2.285000,,,1
supermarket,EyeTracking→PC,1,P1,138.500000,2.300000,,,1
supermarket,EyeTracking→PC,1,P1,139.500000,2.320000,,,1
supermarket,EyeTracking→PC,1,P1,140.500000,2.150000,,,1
supermarket,EyeTracking→PC,1,P1,141.500000,2.250000,,,1
supermarket,EyeTracking→PC,1,P1,142.500000,2.060000,,,1
supermarket,EyeTracking→PC,1,P1,143.500000,2.080000,,,1
supermarket,EyeTracking→PC,1,P1,144.500000,2.125000,,,1
supermarket,EyeTracking→PC,1,P1,145.500000,2.040000,,,1
supermarket,EyeTracking→PC,1,P1,146.500000,1.965000,,,1
