participant,scene,folder,event_id,gc_event_time,elapsed_s,gc_source,nearest_heuristic_delta_ms,heuristic_match_within_250ms
P1,supermarket,P01/supermarket,1,2026-08-20 10:31:17.016,4.006000,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,2,2026-08-20 10:31:26.810,13.800500,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,3,2026-08-20 10:31:37.179,24.169500,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,4,2026-08-20 10:31:47.832,34.822999,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,5,2026-08-20 10:31:58.478,45.468750,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,6,2026-08-20 10:32:09.048,56.038999,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,7,2026-08-20 10:32:19.496,66.486000,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,8,2026-08-20 10:32:30.033,77.023499,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,9,2026-08-20 10:32:40.439,87.429500,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,10,2026-08-20 10:32:50.910,97.900000,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,11,2026-08-20 10:33:01.390,108.380500,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,12,2026-08-20 10:33:11.749,118.739499,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,13,2026-08-20 10:33:22.249,129.239999,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,14,2026-08-20 10:33:32.630,139.620000,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,15,2026-08-20 10:33:43.137,150.127999,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,16,2026-08-20 10:33:53.720,160.710999,Validated cross-link heuristic; session log unavailable,0.000000,True
P1,supermarket,P01/supermarket,17,2026-08-20 10:34:04.027,171.017500,Validated cross-link heuristic; session log unavailable,0.000000,True
