scope,link,metric,n,mean_ms,sd_ms,sem_ms,mean_ci95_low_ms,mean_ci95_high_ms,median_ms,q1_ms,q3_ms,minimum_ms,maximum_ms
all_20_runs,EyeTracking→PC,median_ms,20,2.3375,0.0756637297521078,0.016918924315688637,2.3020882844325508,2.372911715567449,2.32,2.2775,2.3825,2.24,2.53
supermarket,EyeTracking→PC,median_ms,10,2.323,0.07087547765859036,0.022412793965352333,2.272298737591705,2.3737012624082947,2.3049999999999997,2.2649999999999997,2.3775,2.24,2.45
street,EyeTracking→PC,median_ms,10,2.352,0.08121302577515234,0.0256818137123443,2.2939037011555357,2.410096298844464,2.34,2.3,2.3925,2.26,2.53
all_20_runs,EyeTracking→PC,p99_ms,20,8.518989999999999,6.294797931032125,1.4075596078412864,5.572933882774725,11.465046117225272,5.79,5.436975,6.888725,5.2,26.4737
supermarket,EyeTracking→PC,p99_ms,10,8.697519999999999,6.778388216284655,2.143514562830555,3.8485531780107856,13.546486821989213,5.675000000000001,5.427175,7.408675,5.2,26.4737
street,EyeTracking→PC,p99_ms,10,8.340460000000002,6.134680634121605,1.9399563521550338,3.951973842348183,12.728946157651821,5.8816500000000005,5.465,6.4925,5.26,24.6688
all_20_runs,MoCap→PC,median_ms,20,7.57475,0.7827809315779896,0.17503513744989962,7.208397246950703,7.941102753049297,7.48,7.0175,8.175,6.51,9.59
supermarket,MoCap→PC,median_ms,10,7.465000000000001,0.7002102858744965,0.22142593444410347,6.96409973635561,7.965900263644391,7.48,6.815,8.045,6.58,8.59
street,MoCap→PC,median_ms,10,7.684499999999998,0.8812000970898216,0.27865993811653494,7.054127424989199,8.314872575010797,7.4725,7.25,8.122499999999999,6.51,9.59
all_20_runs,MoCap→PC,p99_ms,20,12.534645,4.925985470999686,1.1014838369331617,10.229212833756984,14.840077166243015,10.329999999999998,9.7327,12.603525000000001,8.53,24.74
supermarket,MoCap→PC,p99_ms,10,13.563059999999998,6.20810517096624,1.9631752294122338,9.122049092847373,18.004070907152624,10.14,9.5709,18.24525,8.86,24.74
street,MoCap→PC,p99_ms,10,11.50623,3.2149554650622045,1.0166581845602451,9.206389405622797,13.806070594377204,10.46725,9.98,11.803075,8.53,19.6419
all_20_runs,MoCap→VR,median_ms,20,10.452000000000002,0.8044913397852546,0.17988973230697103,10.075486463140448,10.828513536859555,10.295,10.0175,11.045,9.37,12.02
supermarket,MoCap→VR,median_ms,10,10.391000000000002,0.7799921652028166,0.24665517991272307,9.833027218005368,10.948972781994636,10.274999999999999,9.835,10.9025,9.37,11.58
street,MoCap→VR,median_ms,10,10.513000000000002,0.8658335739492768,0.27380061683235446,9.89361997343882,11.132380026561183,10.295,10.112499999999999,10.989999999999998,9.44,12.02
all_20_runs,MoCap→VR,p99_ms,20,22.504605000000005,6.076417402027111,1.3587282370595288,19.660754116430677,25.348455883569333,20.1707,18.945275,23.3687,17.7,38.3126
supermarket,MoCap→VR,p99_ms,10,23.463720000000002,6.337295478496943,2.004028791753696,18.930291914168535,27.99714808583147,20.505000000000003,19.689,24.792499999999997,17.7,38.3126
street,MoCap→VR,p99_ms,10,21.545489999999997,5.978519539233773,1.890573877979911,17.26871476002289,25.822265239977106,19.976100000000002,18.4783,20.54035,18.0477,38.0188
all_20_runs,PC–VR shared-state RTT,median_ms,20,30.514499999999998,1.4795179691550324,0.33083027529630893,29.822064275878315,31.20693572412168,31.174999999999997,29.415,31.69,27.48,32.43
supermarket,PC–VR shared-state RTT,median_ms,10,31.059999999999995,1.1794066304714415,0.3729611239794302,30.21630332192381,31.90369667807618,31.314999999999998,31.162499999999998,31.705000000000002,27.85,31.88
street,PC–VR shared-state RTT,median_ms,10,29.968999999999994,1.6027784902752122,0.5068430613995706,28.822441338212055,31.115558661787933,29.865000000000002,29.189999999999998,31.252499999999998,27.48,32.43
all_20_runs,PC–VR shared-state RTT,p99_ms,20,40.24838999999999,2.7147821265493075,0.6070437379065687,38.97783285448364,41.51894714551635,40.29,38.580725,41.4075,35.51,45.48
supermarket,PC–VR shared-state RTT,p99_ms,10,40.35239,2.071114869098284,0.654944028219206,38.870803675295406,41.833976324704594,40.46,39.869925,41.117900000000006,35.6524,43.45
street,PC–VR shared-state RTT,p99_ms,10,40.14439,3.353419924147088,1.0604444911293878,37.745497898582485,42.54328210141752,39.340500000000006,37.643225,42.5475,35.51,45.48
