scene,link,metric,participants_n,median,q1,q3,minimum,maximum
supermarket,EyeTracking→PC,median_ms,10,2.305000,2.265000,2.377500,2.240000,2.450000
supermarket,EyeTracking→PC,p95_ms,10,3.765000,3.637500,3.997500,3.460000,6.558500
supermarket,EyeTracking→PC,p99_ms,10,5.675000,5.427175,7.408675,5.200000,26.473700
supermarket,EyeTracking→PC,gt50_pct,10,0.000000,0.000000,0.005353,0.000000,0.862948
supermarket,EyeTracking→PC,retained_pct,10,96.709376,95.741791,97.793513,95.139451,98.419555
supermarket,MoCap→PC,median_ms,10,7.480000,6.815000,8.045000,6.580000,8.590000
supermarket,MoCap→PC,p95_ms,10,9.405000,8.790000,10.160000,8.300000,20.480000
supermarket,MoCap→PC,p99_ms,10,10.140000,9.570900,18.245250,8.860000,24.740000
supermarket,MoCap→PC,gt50_pct,10,0.000000,0.000000,0.000000,0.000000,0.000000
supermarket,MoCap→PC,retained_pct,10,96.695131,95.736216,97.774463,95.126106,98.447533
supermarket,MoCap→VR,median_ms,10,10.275000,9.835000,10.902500,9.370000,11.580000
supermarket,MoCap→VR,p95_ms,10,16.090000,14.235000,20.668500,12.490000,23.850000
supermarket,MoCap→VR,p99_ms,10,20.505000,19.689000,24.792500,17.700000,38.312600
supermarket,MoCap→VR,gt50_pct,10,0.000000,0.000000,0.002794,0.000000,0.455758
supermarket,MoCap→VR,retained_pct,10,100.000000,100.000000,100.000000,100.000000,100.000000
supermarket,PC<->VR 状态同步,median_ms,10,31.315000,31.162500,31.705000,27.850000,31.880000
supermarket,PC<->VR 状态同步,p95_ms,10,37.155000,36.322500,37.466125,32.080000,38.960000
supermarket,PC<->VR 状态同步,p99_ms,10,40.460000,39.869925,41.117900,35.652400,43.450000
supermarket,PC<->VR 状态同步,gt50_pct,10,0.000000,0.000000,0.000000,0.000000,0.045788
supermarket,PC<->VR 状态同步,retained_pct,10,100.000000,100.000000,100.000000,100.000000,100.000000
street,EyeTracking→PC,median_ms,10,2.340000,2.300000,2.392500,2.260000,2.530000
street,EyeTracking→PC,p95_ms,10,3.705000,3.580000,4.165000,3.530000,6.162000
street,EyeTracking→PC,p99_ms,10,5.881650,5.465000,6.492500,5.260000,24.668800
street,EyeTracking→PC,gt50_pct,10,0.000000,0.000000,0.132351,0.000000,0.726175
street,EyeTracking→PC,retained_pct,10,97.035563,96.227707,97.832484,95.154001,98.600381
street,MoCap→PC,median_ms,10,7.472500,7.250000,8.122500,6.510000,9.590000
street,MoCap→PC,p95_ms,10,9.405000,8.855000,9.877500,8.010000,11.270000
street,MoCap→PC,p99_ms,10,10.467250,9.980000,11.803075,8.530000,19.641900
street,MoCap→PC,gt50_pct,10,0.000000,0.000000,0.000000,0.000000,0.000000
street,MoCap→PC,retained_pct,10,97.033333,96.238712,97.813945,95.143365,98.592562
street,MoCap→VR,median_ms,10,10.295000,10.112500,10.990000,9.440000,12.020000
street,MoCap→VR,p95_ms,10,15.859250,15.047500,16.606000,14.038000,21.300000
street,MoCap→VR,p99_ms,10,19.976100,18.478300,20.540350,18.047700,38.018800
street,MoCap→VR,gt50_pct,10,0.000000,0.000000,0.025006,0.000000,0.633568
street,MoCap→VR,retained_pct,10,100.000000,100.000000,100.000000,100.000000,100.000000
street,PC<->VR 状态同步,median_ms,10,29.865000,29.190000,31.252500,27.480000,32.430000
street,PC<->VR 状态同步,p95_ms,10,36.555000,35.202500,38.122500,33.680000,42.210000
street,PC<->VR 状态同步,p99_ms,10,39.340500,37.643225,42.547500,35.510000,45.480000
street,PC<->VR 状态同步,gt50_pct,10,0.000000,0.000000,0.000000,0.000000,0.502601
street,PC<->VR 状态同步,retained_pct,10,100.000000,100.000000,100.000000,100.000000,100.000000
