participant,scene,common_start,analysis_end_exclusive,common_end,window_seconds,common_duration_seconds
P1,supermarket,2026-08-20T10:31:13.010000,2026-08-20T10:36:13.010000,2026-08-20T10:37:46.956000,300,393.9460000000
P1,street,2026-08-20T10:39:12.478000,2026-08-20T10:44:12.478000,2026-08-20T10:45:22.777000,300,370.2990000000
P2,supermarket,2026-08-20T11:02:00.260000,2026-08-20T11:07:00.260000,2026-08-20T11:08:27.125000,300,386.8650000000
P2,street,2026-08-20T10:54:42.724000,2026-08-20T10:59:42.724000,2026-08-20T11:01:12.933000,300,390.2090000000
P3,supermarket,2026-08-20T12:45:57.170000,2026-08-20T12:50:57.170000,2026-08-20T12:51:59.683000,300,362.5130000000
P3,street,2026-08-20T12:53:39.910000,2026-08-20T12:58:39.910000,2026-08-20T12:59:52.906000,300,372.9960000000
P4,supermarket,2026-08-20T14:27:23.316000,2026-08-20T14:32:23.316000,2026-08-20T14:33:36.173000,300,372.8570000000
P4,street,2026-08-20T14:36:50.926000,2026-08-20T14:41:50.926000,2026-08-20T14:43:26.881000,300,395.9550000000
P5,supermarket,2026-08-20T15:24:37.221000,2026-08-20T15:29:37.221000,2026-08-20T15:31:00.622000,300,383.4010000000
P5,street,2026-08-20T15:33:00.057000,2026-08-20T15:38:00.057000,2026-08-20T15:39:18.136000,300,378.0790000000
P6,supermarket,2026-08-20T15:54:13.416000,2026-08-20T15:59:13.416000,2026-08-20T15:59:43.671000,300,330.2550000000
P6,street,2026-08-20T16:02:08.683000,2026-08-20T16:07:08.683000,2026-08-20T16:08:15.663000,300,366.9800000000
P7,supermarket,2026-08-21T09:50:56.740000,2026-08-21T09:55:56.740000,2026-08-21T09:56:52.827000,300,356.0870000000
P7,street,2026-08-21T09:41:49.213000,2026-08-21T09:46:49.213000,2026-08-21T09:47:09.195000,300,319.9820000000
P8,supermarket,2026-08-21T10:28:53.657000,2026-08-21T10:33:53.657000,2026-08-21T10:35:23.177000,300,389.5200000000
P8,street,2026-08-21T10:17:03.543000,2026-08-21T10:22:03.543000,2026-08-21T10:24:03.439000,300,419.8960000000
P9,supermarket,2026-08-21T10:52:39.458000,2026-08-21T10:57:39.458000,2026-08-21T11:00:26.900000,300,467.4420000000
P9,street,2026-08-21T10:43:42.259000,2026-08-21T10:48:42.259000,2026-08-21T10:50:23.804000,300,401.5450000000
P10,supermarket,2026-08-21T11:17:25.139000,2026-08-21T11:22:25.139000,2026-08-21T11:24:22.947000,300,417.8080000000
P10,street,2026-08-21T11:09:17.847000,2026-08-21T11:14:17.847000,2026-08-21T11:15:23.412000,300,365.5650000000
