scheme,scene,link,runs_n,samples_n,ready_samples_n,clock_valid_samples_n,ready_sample_pct,clock_valid_sample_pct,mapping_age_ms_run_median_median,mapping_age_ms_run_median_min,mapping_age_ms_run_median_max,mapping_age_ms_run_p99_median,mapping_age_ms_all_run_max,uncertainty_ms_run_median_median,uncertainty_ms_run_median_min,uncertainty_ms_run_median_max,uncertainty_ms_run_p99_median,uncertainty_ms_all_run_max,sync_rtt_ms_run_median_median,sync_rtt_ms_run_median_min,sync_rtt_ms_run_median_max,sync_rtt_ms_run_p99_median,sync_rtt_ms_all_run_max
GC_filtered,supermarket,EyeTracking→PC,10,275993,275993,275993,100.0000000000,100.0000000000,4083.6500000000,4047.3000000000,4102.5000000000,8979.8965000000,9498.3000000000,1.8260000000,1.7660000000,1.9550000000,2.1290000000,6.4090000000,3.4535000000,3.4090000000,3.6990000000,3.8535000000,5.4530000000
GC_retained,supermarket,EyeTracking→PC,10,285159,285159,285159,100.0000000000,100.0000000000,4083.4000000000,4062.7000000000,4099.1000000000,8988.3540000000,9498.3000000000,1.8275000000,1.7750000000,1.9550000000,2.1290000000,6.4090000000,3.4535000000,3.4090000000,3.7190000000,3.8535000000,5.4530000000
GC_filtered,supermarket,MoCap→PC,10,259993,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,MoCap→PC,10,268670,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,supermarket,MoCap→VR,10,268575,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,MoCap→VR,10,268575,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,supermarket,PC<->VR 状态同步,10,162345,0,162345,0.0000000000,100.0000000000,4062.4250000000,4020.4500000000,4118.8000000000,8984.7785000000,9494.1000000000,1.8260000000,1.7750000000,1.9490000000,2.1290000000,6.4090000000,3.4370000000,3.4020000000,3.6990000000,3.8535000000,5.4530000000
GC_retained,supermarket,PC<->VR 状态同步,10,162345,0,162345,0.0000000000,100.0000000000,4062.4250000000,4020.4500000000,4118.8000000000,8984.7785000000,9494.1000000000,1.8260000000,1.7750000000,1.9490000000,2.1290000000,6.4090000000,3.4370000000,3.4020000000,3.6990000000,3.8535000000,5.4530000000
GC_filtered,street,EyeTracking→PC,10,278710,278710,278710,100.0000000000,100.0000000000,4089.4750000000,4035.1000000000,4193.4000000000,8977.2300000000,9272.0000000000,1.8075000000,1.7400000000,1.9410000000,2.0575000000,6.1060000000,3.4220000000,3.3050000000,3.7580000000,3.7950000000,4.8340000000
GC_retained,street,EyeTracking→PC,10,287404,287404,287404,100.0000000000,100.0000000000,4071.2250000000,4057.2000000000,4092.0000000000,8977.5820000000,9272.0000000000,1.8070000000,1.7400000000,1.9410000000,2.0575000000,6.1060000000,3.4230000000,3.3050000000,3.7580000000,3.7950000000,4.8340000000
GC_filtered,street,MoCap→PC,10,260878,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,MoCap→PC,10,269056,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,MoCap→VR,10,268967,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,street,MoCap→VR,10,268967,0,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,PC<->VR 状态同步,10,168609,0,168609,0.0000000000,100.0000000000,4087.1500000000,4051.6000000000,4132.6000000000,8979.4270000000,9270.1000000000,1.8075000000,1.7400000000,1.9410000000,2.0575000000,6.1060000000,3.4220000000,3.3050000000,3.7580000000,3.7950000000,4.8340000000
GC_retained,street,PC<->VR 状态同步,10,168609,0,168609,0.0000000000,100.0000000000,4087.1500000000,4051.6000000000,4132.6000000000,8979.4270000000,9270.1000000000,1.8075000000,1.7400000000,1.9410000000,2.0575000000,6.1060000000,3.4220000000,3.3050000000,3.7580000000,3.7950000000,4.8340000000
