participant,scene,link,scheme,state,samples_n,denominator_n,percent
P1,supermarket,EyeTracking→PC,GC_filtered,Ready,27051,27051,100.0000000000
P1,supermarket,EyeTracking→PC,GC_retained,Ready,28432,28432,100.0000000000
P1,supermarket,MoCap→PC,GC_filtered,<missing>,25685,25685,100.0000000000
P1,supermarket,MoCap→PC,GC_retained,<missing>,27001,27001,100.0000000000
P1,supermarket,MoCap→VR,GC_filtered,<missing>,26990,26990,100.0000000000
P1,supermarket,MoCap→VR,GC_retained,<missing>,26990,26990,100.0000000000
P1,supermarket,PC<->VR 状态同步,GC_filtered,Not required,15666,15666,100.0000000000
P1,supermarket,PC<->VR 状态同步,GC_retained,Not required,15666,15666,100.0000000000
P1,street,EyeTracking→PC,GC_filtered,Ready,27372,27372,100.0000000000
P1,street,EyeTracking→PC,GC_retained,Ready,28766,28766,100.0000000000
P1,street,MoCap→PC,GC_filtered,<missing>,25683,25683,100.0000000000
P1,street,MoCap→PC,GC_retained,<missing>,26994,26994,100.0000000000
P1,street,MoCap→VR,GC_filtered,<missing>,26985,26985,100.0000000000
P1,street,MoCap→VR,GC_retained,<missing>,26985,26985,100.0000000000
P1,street,PC<->VR 状态同步,GC_filtered,Not required,17200,17200,100.0000000000
P1,street,PC<->VR 状态同步,GC_retained,Not required,17200,17200,100.0000000000
P2,supermarket,EyeTracking→PC,GC_filtered,Ready,27736,27736,100.0000000000
P2,supermarket,EyeTracking→PC,GC_retained,Ready,28745,28745,100.0000000000
P2,supermarket,MoCap→PC,GC_filtered,<missing>,26045,26045,100.0000000000
P2,supermarket,MoCap→PC,GC_retained,<missing>,26997,26997,100.0000000000
P2,supermarket,MoCap→VR,GC_filtered,<missing>,26994,26994,100.0000000000
P2,supermarket,MoCap→VR,GC_retained,<missing>,26994,26994,100.0000000000
P2,supermarket,PC<->VR 状态同步,GC_filtered,Not required,17189,17189,100.0000000000
P2,supermarket,PC<->VR 状态同步,GC_retained,Not required,17189,17189,100.0000000000
P2,street,EyeTracking→PC,GC_filtered,Ready,27227,27227,100.0000000000
P2,street,EyeTracking→PC,GC_retained,Ready,28413,28413,100.0000000000
P2,street,MoCap→PC,GC_filtered,<missing>,25871,25871,100.0000000000
P2,street,MoCap→PC,GC_retained,<missing>,27000,27000,100.0000000000
P2,street,MoCap→VR,GC_filtered,<missing>,26994,26994,100.0000000000
P2,street,MoCap→VR,GC_retained,<missing>,26994,26994,100.0000000000
P2,street,PC<->VR 状态同步,GC_filtered,Not required,17259,17259,100.0000000000
P2,street,PC<->VR 状态同步,GC_retained,Not required,17259,17259,100.0000000000
P3,supermarket,EyeTracking→PC,GC_filtered,Ready,27464,27464,100.0000000000
