participant,scene,source,event_id,elapsed_s,nearest_heuristic_delta_ms
P1,supermarket,cross_link_heuristic,1,4.0060000000,0.0000000000
P1,supermarket,cross_link_heuristic,2,13.8005000000,0.0000000000
P1,supermarket,cross_link_heuristic,3,24.1695000000,0.0000000000
P1,supermarket,cross_link_heuristic,4,34.8229990000,0.0000000000
P1,supermarket,cross_link_heuristic,5,45.4687500000,0.0000000000
P1,supermarket,cross_link_heuristic,6,56.0389990000,0.0000000000
P1,supermarket,cross_link_heuristic,7,66.4860000000,0.0000000000
P1,supermarket,cross_link_heuristic,8,77.0234990000,0.0000000000
P1,supermarket,cross_link_heuristic,9,87.4295000000,0.0000000000
P1,supermarket,cross_link_heuristic,10,97.9000000000,0.0000000000
P1,supermarket,cross_link_heuristic,11,108.3805000000,0.0000000000
P1,supermarket,cross_link_heuristic,12,118.7394990000,0.0000000000
P1,supermarket,cross_link_heuristic,13,129.2399990000,0.0000000000
P1,supermarket,cross_link_heuristic,14,139.6200000000,0.0000000000
P1,supermarket,cross_link_heuristic,15,150.1279990000,0.0000000000
P1,supermarket,cross_link_heuristic,16,160.7109990000,0.0000000000
P1,supermarket,cross_link_heuristic,17,171.0175000000,0.0000000000
P1,supermarket,cross_link_heuristic,18,181.3815000000,0.0000000000
P1,supermarket,cross_link_heuristic,19,191.7834990000,0.0000000000
P1,supermarket,cross_link_heuristic,20,202.2669990000,0.0000000000
P1,supermarket,cross_link_heuristic,21,212.7864990000,0.0000000000
P1,supermarket,cross_link_heuristic,22,223.2685000000,0.0000000000
P1,supermarket,cross_link_heuristic,23,233.7000000000,0.0000000000
P1,supermarket,cross_link_heuristic,24,244.1759990000,0.0000000000
P1,supermarket,cross_link_heuristic,25,254.6794990000,0.0000000000
P1,supermarket,cross_link_heuristic,26,265.1199990000,0.0000000000
P1,supermarket,cross_link_heuristic,27,275.5800000000,0.0000000000
P1,supermarket,cross_link_heuristic,28,286.0970000000,0.0000000000
P1,supermarket,cross_link_heuristic,29,296.5300000000,0.0000000000
P1,street,cross_link_heuristic,1,2.9360000000,0.0000000000
P1,street,cross_link_heuristic,2,12.7940000000,0.0000000000
P1,street,cross_link_heuristic,3,23.5754990000,0.0000000000
P1,street,cross_link_heuristic,4,34.1029990000,0.0000000000
P1,street,cross_link_heuristic,5,44.4864990000,0.0000000000
P1,street,cross_link_heuristic,6,54.9479990000,0.0000000000
P1,street,cross_link_heuristic,7,65.4450000000,0.0000000000
P1,street,cross_link_heuristic,8,76.0279990000,0.0000000000
P1,street,cross_link_heuristic,9,86.4104990000,0.0000000000
P1,street,cross_link_heuristic,10,96.7389990000,0.0000000000
P1,street,cross_link_heuristic,11,106.9389990000,0.0000000000
P1,street,cross_link_heuristic,12,117.1140000000,0.0000000000
P1,street,cross_link_heuristic,13,127.4184990000,0.0000000000
P1,street,cross_link_heuristic,14,137.9725000000,0.0000000000
P1,street,cross_link_heuristic,15,148.6909990000,0.0000000000
P1,street,cross_link_heuristic,16,159.3784990000,0.0000000000
P1,street,cross_link_heuristic,17,170.0325000000,0.0000000000
P1,street,cross_link_heuristic,18,180.8509990000,0.0000000000
P1,street,cross_link_heuristic,19,191.5255000000,0.0000000000
P1,street,cross_link_heuristic,20,202.2069990000,0.0000000000
P1,street,cross_link_heuristic,21,212.7170000000,0.0000000000
P1,street,cross_link_heuristic,22,223.3159990000,0.0000000000
P1,street,cross_link_heuristic,23,233.8845000000,0.0000000000
P1,street,cross_link_heuristic,24,244.5460000000,0.0000000000
P1,street,cross_link_heuristic,25,255.1114990000,0.0000000000
P1,street,cross_link_heuristic,26,265.6234990000,0.0000000000
P1,street,cross_link_heuristic,27,275.8420000000,0.0000000000
P1,street,cross_link_heuristic,28,286.3380000000,0.0000000000
P1,street,cross_link_heuristic,29,297.2839990000,0.0000000000
P2,supermarket,cross_link_heuristic,1,4.6185000000,0.0000000000
P2,supermarket,cross_link_heuristic,2,18.4204990000,0.0000000000
P2,supermarket,cross_link_heuristic,3,31.8385000000,0.0000000000
P2,supermarket,cross_link_heuristic,4,45.9000000000,0.0000000000
P2,supermarket,cross_link_heuristic,5,59.9600000000,0.0000000000
P2,supermarket,cross_link_heuristic,6,73.9729990000,0.0000000000
P2,supermarket,cross_link_heuristic,7,87.9529990000,0.0000000000
P2,supermarket,cross_link_heuristic,8,101.8724990000,0.0000000000
P2,supermarket,cross_link_heuristic,9,115.9179990000,0.0000000000
P2,supermarket,cross_link_heuristic,10,129.9240000000,0.0000000000
P2,supermarket,cross_link_heuristic,11,144.6070000000,0.0000000000
P2,supermarket,cross_link_heuristic,12,159.4185000000,0.0000000000
P2,supermarket,cross_link_heuristic,13,173.9110000000,0.0000000000
P2,supermarket,cross_link_heuristic,14,187.7164990000,0.0000000000
P2,supermarket,cross_link_heuristic,15,201.8420000000,0.0000000000
P2,supermarket,cross_link_heuristic,16,216.1585000000,0.0000000000
P2,supermarket,cross_link_heuristic,17,230.4374990000,0.0000000000
P2,supermarket,cross_link_heuristic,18,244.8489990000,0.0000000000
P2,supermarket,cross_link_heuristic,19,259.0729990000,0.0000000000
P2,supermarket,cross_link_heuristic,20,273.2009990000,0.0000000000
P2,supermarket,cross_link_heuristic,21,287.4804990000,0.0000000000
P2,street,cross_link_heuristic,1,10.3244990000,0.0000000000
P2,street,cross_link_heuristic,2,22.1825000000,0.0000000000
P2,street,cross_link_heuristic,3,34.0430000000,0.0000000000
P2,street,cross_link_heuristic,4,45.9889990000,0.0000000000
P2,street,cross_link_heuristic,5,57.7844990000,0.0000000000
P2,street,cross_link_heuristic,6,69.6204990000,0.0000000000
P2,street,cross_link_heuristic,7,81.5785000000,0.0000000000
P2,street,cross_link_heuristic,8,93.4440000000,0.0000000000
P2,street,cross_link_heuristic,9,105.1995000000,0.0000000000
P2,street,cross_link_heuristic,10,116.9515000000,0.0000000000
P2,street,cross_link_heuristic,11,128.7899990000,0.0000000000
P2,street,cross_link_heuristic,12,140.6475000000,0.0000000000
P2,street,cross_link_heuristic,13,152.4720000000,0.0000000000
P2,street,cross_link_heuristic,14,164.2520000000,0.0000000000
P2,street,cross_link_heuristic,15,176.0489990000,0.0000000000
P2,street,cross_link_heuristic,16,187.8840000000,0.0000000000
P2,street,cross_link_heuristic,17,199.7225000000,0.0000000000
P2,street,cross_link_heuristic,18,211.5449990000,0.0000000000
P2,street,cross_link_heuristic,19,223.3635000000,0.0000000000
P2,street,cross_link_heuristic,20,235.1600000000,0.0000000000
P2,street,cross_link_heuristic,21,247.0240000000,0.0000000000
P2,street,cross_link_heuristic,22,258.8915000000,0.0000000000
P2,street,cross_link_heuristic,23,270.7324990000,0.0000000000
P2,street,cross_link_heuristic,24,282.5715000000,0.0000000000
P2,street,cross_link_heuristic,25,294.4409990000,0.0000000000
P3,supermarket,cross_link_heuristic,1,5.9514990000,0.0000000000
P3,supermarket,cross_link_heuristic,2,20.5029990000,0.0000000000
P3,supermarket,cross_link_heuristic,3,33.7119990000,0.0000000000
P3,supermarket,cross_link_heuristic,4,46.8975000000,0.0000000000
P3,supermarket,cross_link_heuristic,5,60.3330000000,0.0000000000
P3,supermarket,cross_link_heuristic,6,73.5895000000,0.0000000000
