participant,scene,package_csv_sha256_matches_manifest,original_csv_exists,original_csv_sha256_matches_manifest,source_folder_log_files,source_folder_logs_with_GC_in_window,package_direct_log_available,direct_gc_events,heuristic_events,selected_gc_events,selected_source
P1,supermarket,True,True,True,0,0,False,0,29,29,cross_link_heuristic
P1,street,True,True,True,0,0,False,0,29,29,cross_link_heuristic
P2,supermarket,True,True,True,0,0,False,0,21,21,cross_link_heuristic
P2,street,True,True,True,0,0,False,0,25,25,cross_link_heuristic
P3,supermarket,True,True,True,0,0,False,0,23,23,cross_link_heuristic
P3,street,True,True,True,3,1,True,19,19,19,direct_log
P4,supermarket,True,True,True,1,1,True,25,25,25,direct_log
P4,street,True,True,True,1,1,True,15,15,15,direct_log
P5,supermarket,True,True,True,1,1,True,27,27,27,direct_log
P5,street,True,True,True,1,1,True,23,23,23,direct_log
P6,supermarket,True,True,True,1,1,True,13,13,13,direct_log
P6,street,True,True,True,1,1,True,15,15,15,direct_log
P7,supermarket,True,True,True,1,1,True,12,12,12,direct_log
P7,street,True,True,True,1,1,True,11,11,11,direct_log
P8,supermarket,True,True,True,1,1,True,18,18,18,direct_log
P8,street,True,True,True,1,1,True,21,21,21,direct_log
P9,supermarket,True,True,True,1,1,True,10,10,10,direct_log
P9,street,True,True,True,1,1,True,11,11,11,direct_log
P10,supermarket,True,True,True,1,1,True,9,9,9,direct_log
P10,street,True,True,True,1,1,True,8,8,8,direct_log
