scheme,metric,link,participant,street_minus_supermarket_ms
GC_filtered,median_ms,EyeTracking→PC,P1,0.1100000000
GC_filtered,median_ms,EyeTracking→PC,P10,-0.0200000000
GC_filtered,median_ms,EyeTracking→PC,P2,0.0300000000
GC_filtered,median_ms,EyeTracking→PC,P3,0.0800000000
GC_filtered,median_ms,EyeTracking→PC,P4,-0.1100000000
GC_filtered,median_ms,EyeTracking→PC,P5,0.0600000000
GC_filtered,median_ms,EyeTracking→PC,P6,0.0200000000
GC_filtered,median_ms,EyeTracking→PC,P7,0.1200000000
GC_filtered,median_ms,EyeTracking→PC,P8,0.0800000000
GC_filtered,median_ms,EyeTracking→PC,P9,-0.0800000000
GC_filtered,median_ms,MoCap→PC,P1,0.1700000000
GC_filtered,median_ms,MoCap→PC,P10,0.1400000000
GC_filtered,median_ms,MoCap→PC,P2,-0.2200000000
GC_filtered,median_ms,MoCap→PC,P3,0.2200000000
GC_filtered,median_ms,MoCap→PC,P4,0.9800000000
GC_filtered,median_ms,MoCap→PC,P5,2.1400000000
GC_filtered,median_ms,MoCap→PC,P6,-0.3000000000
GC_filtered,median_ms,MoCap→PC,P7,-0.1250000000
GC_filtered,median_ms,MoCap→PC,P8,-0.9100000000
GC_filtered,median_ms,MoCap→PC,P9,0.1000000000
GC_filtered,median_ms,MoCap→VR,P1,-0.3000000000
GC_filtered,median_ms,MoCap→VR,P10,0.0000000000
GC_filtered,median_ms,MoCap→VR,P2,-0.0400000000
GC_filtered,median_ms,MoCap→VR,P3,0.1100000000
GC_filtered,median_ms,MoCap→VR,P4,0.9200000000
GC_filtered,median_ms,MoCap→VR,P5,1.8300000000
GC_filtered,median_ms,MoCap→VR,P6,-0.2500000000
GC_filtered,median_ms,MoCap→VR,P7,-0.2500000000
GC_filtered,median_ms,MoCap→VR,P8,-0.9000000000
GC_filtered,median_ms,MoCap→VR,P9,0.1000000000
GC_filtered,median_ms,PC<->VR 状态同步,P1,-2.7000000000
GC_filtered,median_ms,PC<->VR 状态同步,P10,-2.7300000000
GC_filtered,median_ms,PC<->VR 状态同步,P2,2.5400000000
GC_filtered,median_ms,PC<->VR 状态同步,P3,0.1100000000
GC_filtered,median_ms,PC<->VR 状态同步,P4,-4.2100000000
GC_filtered,median_ms,PC<->VR 状态同步,P5,-0.9500000000
GC_filtered,median_ms,PC<->VR 状态同步,P6,-0.0200000000
GC_filtered,median_ms,PC<->VR 状态同步,P7,1.2300000000
GC_filtered,median_ms,PC<->VR 状态同步,P8,-2.2500000000
GC_filtered,median_ms,PC<->VR 状态同步,P9,-1.9300000000
GC_filtered,p99_ms,EyeTracking→PC,P1,0.3650000000
GC_filtered,p99_ms,EyeTracking→PC,P10,-8.5900000000
GC_filtered,p99_ms,EyeTracking→PC,P2,0.3100000000
GC_filtered,p99_ms,EyeTracking→PC,P3,-1.8049000000
GC_filtered,p99_ms,EyeTracking→PC,P4,-0.3738000000
GC_filtered,p99_ms,EyeTracking→PC,P5,0.2333000000
GC_filtered,p99_ms,EyeTracking→PC,P6,0.6300000000
GC_filtered,p99_ms,EyeTracking→PC,P7,-1.5849000000
GC_filtered,p99_ms,EyeTracking→PC,P8,7.1584000000
GC_filtered,p99_ms,EyeTracking→PC,P9,0.0863000000
GC_filtered,p99_ms,MoCap→PC,P1,-10.9382000000
