participant,link,metric,supermarket,street,street_minus_supermarket
P1,EyeTracking→PC,median_ms,2.250000,2.360000,0.110000
P1,EyeTracking→PC,p95_ms,3.570000,3.720000,0.150000
P1,EyeTracking→PC,p99_ms,5.515000,5.880000,0.365000
P1,EyeTracking→PC,gt50_pct,0.000000,0.000000,0.000000
P1,MoCap→PC,median_ms,6.690000,6.860000,0.170000
P1,MoCap→PC,p95_ms,20.480000,8.570000,-11.910000
P1,MoCap→PC,p99_ms,24.740000,13.801800,-10.938200
P1,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P1,MoCap→VR,median_ms,9.740000,9.440000,-0.300000
P1,MoCap→VR,p95_ms,23.850000,14.038000,-9.812000
P1,MoCap→VR,p99_ms,29.811100,18.230000,-11.581100
P1,MoCap→VR,gt50_pct,0.000000,0.000000,0.000000
P1,PC<->VR 状态同步,median_ms,31.880000,29.180000,-2.700000
P1,PC<->VR 状态同步,p95_ms,37.070000,37.290000,0.220000
P1,PC<->VR 状态同步,p99_ms,42.240000,43.040000,0.800000
P1,PC<->VR 状态同步,gt50_pct,0.000000,0.343023,0.343023
P2,EyeTracking→PC,median_ms,2.240000,2.270000,0.030000
P2,EyeTracking→PC,p95_ms,3.460000,3.690000,0.230000
P2,EyeTracking→PC,p99_ms,5.200000,5.510000,0.310000
P2,EyeTracking→PC,gt50_pct,0.000000,0.000000,0.000000
P2,MoCap→PC,median_ms,6.730000,6.510000,-0.220000
P2,MoCap→PC,p95_ms,8.300000,8.010000,-0.290000
P2,MoCap→PC,p99_ms,8.860000,8.530000,-0.330000
P2,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P2,MoCap→VR,median_ms,9.480000,9.440000,-0.040000
P2,MoCap→VR,p95_ms,12.490000,14.057000,1.567000
P2,MoCap→VR,p99_ms,17.700000,20.010000,2.310000
P2,MoCap→VR,gt50_pct,0.000000,0.033341,0.033341
P2,PC<->VR 状态同步,median_ms,27.850000,30.390000,2.540000
P2,PC<->VR 状态同步,p95_ms,32.080000,37.040000,4.960000
P2,PC<->VR 状态同步,p99_ms,35.652400,39.871000,4.218600
P2,PC<->VR 状态同步,gt50_pct,0.000000,0.000000,0.000000
P3,EyeTracking→PC,median_ms,2.450000,2.530000,0.080000
P3,EyeTracking→PC,p95_ms,6.558500,6.162000,-0.396500
P3,EyeTracking→PC,p99_ms,26.473700,24.668800,-1.804900
P3,EyeTracking→PC,gt50_pct,0.862948,0.726175,-0.136773
P3,MoCap→PC,median_ms,8.190000,8.410000,0.220000
P3,MoCap→PC,p95_ms,9.740000,9.930000,0.190000
P3,MoCap→PC,p99_ms,10.560000,10.600000,0.040000
P3,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P3,MoCap→VR,median_ms,11.580000,11.690000,0.110000
P3,MoCap→VR,p95_ms,22.600000,21.300000,-1.300000
P3,MoCap→VR,p99_ms,38.312600,38.018800,-0.293800
P3,MoCap→VR,gt50_pct,0.455758,0.633568,0.177810
P3,PC<->VR 状态同步,median_ms,31.430000,31.540000,0.110000
P3,PC<->VR 状态同步,p95_ms,37.481500,39.000000,1.518500
P3,PC<->VR 状态同步,p99_ms,41.081600,45.480000,4.398400
P3,PC<->VR 状态同步,gt50_pct,0.000000,0.502601,0.502601
P4,EyeTracking→PC,median_ms,2.370000,2.260000,-0.110000
P4,EyeTracking→PC,p95_ms,3.710000,3.530000,-0.180000
P4,EyeTracking→PC,p99_ms,5.700000,5.326200,-0.373800
P4,EyeTracking→PC,gt50_pct,0.139603,0.000000,-0.139603
P4,MoCap→PC,median_ms,6.580000,7.560000,0.980000
P4,MoCap→PC,p95_ms,8.420000,9.720000,1.300000
P4,MoCap→PC,p99_ms,9.490000,10.564500,1.074500
P4,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P4,MoCap→VR,median_ms,9.370000,10.290000,0.920000
P4,MoCap→VR,p95_ms,13.185000,15.840000,2.655000
P4,MoCap→VR,p99_ms,19.532000,18.320000,-1.212000
P4,MoCap→VR,gt50_pct,0.000000,0.000000,0.000000
P4,PC<->VR 状态同步,median_ms,31.690000,27.480000,-4.210000
P4,PC<->VR 状态同步,p95_ms,38.960000,34.137000,-4.823000
P4,PC<->VR 状态同步,p99_ms,43.450000,37.460000,-5.990000
P4,PC<->VR 状态同步,gt50_pct,0.000000,0.000000,0.000000
P5,EyeTracking→PC,median_ms,2.260000,2.320000,0.060000
P5,EyeTracking→PC,p95_ms,3.820000,3.580000,-0.240000
P5,EyeTracking→PC,p99_ms,5.650000,5.883300,0.233300
P5,EyeTracking→PC,gt50_pct,0.000000,0.148186,0.148186
P5,MoCap→PC,median_ms,7.450000,9.590000,2.140000
P5,MoCap→PC,p95_ms,9.290000,11.270000,1.980000
P5,MoCap→PC,p99_ms,9.990000,12.204100,2.214100
P5,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P5,MoCap→VR,median_ms,10.190000,12.020000,1.830000
P5,MoCap→VR,p95_ms,14.140000,15.310000,1.170000
P5,MoCap→VR,p99_ms,20.320000,20.181400,-0.138600
P5,MoCap→VR,gt50_pct,0.007410,0.000000,-0.007410
P5,PC<->VR 状态同步,median_ms,31.200000,30.250000,-0.950000
P5,PC<->VR 状态同步,p95_ms,37.930000,35.900000,-2.030000
P5,PC<->VR 状态同步,p99_ms,40.630000,37.892900,-2.737100
P5,PC<->VR 状态同步,gt50_pct,0.000000,0.000000,0.000000
P6,EyeTracking→PC,median_ms,2.390000,2.410000,0.020000
P6,EyeTracking→PC,p95_ms,4.000000,4.250000,0.250000
P6,EyeTracking→PC,p99_ms,5.920000,6.550000,0.630000
P6,EyeTracking→PC,gt50_pct,0.000000,0.000000,0.000000
P6,MoCap→PC,median_ms,7.670000,7.370000,-0.300000
P6,MoCap→PC,p95_ms,9.520000,9.500000,-0.020000
P6,MoCap→PC,p99_ms,10.290000,10.370000,0.080000
P6,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P6,MoCap→VR,median_ms,10.550000,10.300000,-0.250000
P6,MoCap→VR,p95_ms,16.450000,14.960000,-1.490000
P6,MoCap→VR,p99_ms,18.921500,20.660000,1.738500
P6,MoCap→VR,gt50_pct,0.000000,0.000000,0.000000
P6,PC<->VR 状态同步,median_ms,31.710000,31.690000,-0.020000
P6,PC<->VR 状态同步,p95_ms,37.240000,38.400000,1.160000
P6,PC<->VR 状态同步,p99_ms,41.130000,41.070000,-0.060000
P6,PC<->VR 状态同步,gt50_pct,0.000000,0.000000,0.000000
P7,EyeTracking→PC,median_ms,2.280000,2.400000,0.120000
P7,EyeTracking→PC,p95_ms,3.990000,3.910000,-0.080000
P7,EyeTracking→PC,p99_ms,7.904900,6.320000,-1.584900
P7,EyeTracking→PC,gt50_pct,0.000000,0.137819,0.137819
P7,MoCap→PC,median_ms,7.510000,7.385000,-0.125000
P7,MoCap→PC,p95_ms,9.180000,9.310000,0.130000
P7,MoCap→PC,p99_ms,9.813600,10.070000,0.256400
P7,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P7,MoCap→VR,median_ms,10.360000,10.110000,-0.250000
P7,MoCap→VR,p95_ms,15.730000,15.934000,0.204000
P7,MoCap→VR,p99_ms,20.690000,18.953200,-1.736800
P7,MoCap→VR,gt50_pct,0.003725,0.048161,0.044436
P7,PC<->VR 状态同步,median_ms,31.200000,32.430000,1.230000
P7,PC<->VR 状态同步,p95_ms,37.420000,42.210000,4.790000
P7,PC<->VR 状态同步,p99_ms,40.290000,44.750000,4.460000
P7,PC<->VR 状态同步,gt50_pct,0.045788,0.000000,-0.045788
P8,EyeTracking→PC,median_ms,2.290000,2.370000,0.080000
P8,EyeTracking→PC,p95_ms,3.620000,5.330000,1.710000
P8,EyeTracking→PC,p99_ms,5.397900,12.556300,7.158400
P8,EyeTracking→PC,gt50_pct,0.000000,0.000000,0.000000
P8,MoCap→PC,median_ms,8.590000,7.680000,-0.910000
P8,MoCap→PC,p95_ms,10.300000,9.200000,-1.100000
P8,MoCap→PC,p99_ms,20.807000,9.950000,-10.857000
P8,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P8,MoCap→VR,median_ms,11.500000,10.600000,-0.900000
P8,MoCap→VR,p95_ms,19.560000,16.830000,-2.730000
P8,MoCap→VR,p99_ms,24.200000,19.942200,-4.257800
P8,MoCap→VR,gt50_pct,0.000000,0.000000,0.000000
P8,PC<->VR 状态同步,median_ms,31.730000,29.480000,-2.250000
P8,PC<->VR 状态同步,p95_ms,36.690000,36.070000,-0.620000
P8,PC<->VR 状态同步,p99_ms,39.030000,38.810000,-0.220000
P8,PC<->VR 状态同步,gt50_pct,0.000000,0.000000,0.000000
P9,EyeTracking→PC,median_ms,2.380000,2.300000,-0.080000
P9,EyeTracking→PC,p95_ms,3.690000,3.580000,-0.110000
P9,EyeTracking→PC,p99_ms,5.363700,5.450000,0.086300
P9,EyeTracking→PC,gt50_pct,0.000000,0.000000,0.000000
P9,MoCap→PC,median_ms,8.170000,8.270000,0.100000
P9,MoCap→PC,p95_ms,10.350000,10.110000,-0.240000
P9,MoCap→PC,p99_ms,21.720000,19.641900,-2.078100
P9,MoCap→PC,gt50_pct,0.000000,0.000000,0.000000
P9,MoCap→VR,median_ms,11.020000,11.120000,0.100000
P9,MoCap→VR,p95_ms,21.038000,18.160000,-2.878000
P9,MoCap→VR,p99_ms,24.990000,23.091600,-1.898400
P9,MoCap→VR,gt50_pct,0.000000,0.000000,0.000000
P9,PC<->VR 状态同步,median_ms,31.150000,29.220000,-1.930000
P9,PC<->VR 状态同步,p95_ms,36.200000,34.970000,-1.230000
P9,PC<->VR 状态同步,p99_ms,40.290000,37.560000,-2.730000
P9,PC<->VR 状态同步,gt50_pct,0.000000,0.000000,0.000000
P10,EyeTracking→PC,median_ms,2.320000,2.300000,-0.020000
P10,EyeTracking→PC,p95_ms,4.680000,3.530000,-1.150000
P10,EyeTracking→PC,p99_ms,13.850000,5.260000,-8.590000
P10,EyeTracking→PC,gt50_pct,0.007137,0.115948,0.108811
