序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
1,2026-08-14 21:49:57.192,2026-08-14 21:49:57.185,MoCap→PC,15.45,0.44,0.00,13.01,22.67,17.69,21.14,22.06,15.45,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
2,2026-08-14 21:49:57.194,2026-08-14 21:49:57.193,EyeTracking→PC,1.62,0.49,0.00,0.99,1.62,1.31,1.59,1.61,1.62,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,16.8,7.291,5
3,2026-08-14 21:49:57.203,2026-08-14 21:49:57.196,MoCap→PC,16.34,0.44,0.00,13.01,22.67,17.65,21.13,22.05,16.34,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
4,2026-08-14 21:49:57.206,2026-08-14 21:49:57.203,EyeTracking→PC,2.98,0.48,0.00,0.99,2.98,1.62,2.84,2.95,2.98,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,27.9,7.291,5
5,2026-08-14 21:49:57.215,2026-08-14 21:49:57.213,EyeTracking→PC,2.19,0.48,0.00,0.99,2.98,1.91,2.86,2.95,2.19,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,38.0,7.291,5
6,2026-08-14 21:49:57.218,2026-08-14 21:49:57.207,MoCap→PC,23.12,0.44,0.00,13.01,23.12,17.69,21.23,22.86,23.12,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
7,2026-08-14 21:49:57.224,2026-08-14 21:49:57.218,MoCap→PC,15.44,0.44,0.00,13.01,23.12,17.65,21.21,22.85,15.44,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
8,2026-08-14 21:49:57.225,2026-08-14 21:49:57.224,EyeTracking→PC,1.57,0.49,0.00,0.99,2.98,1.62,2.82,2.94,1.57,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,47.5,7.291,5
9,2026-08-14 21:49:57.235,2026-08-14 21:49:57.234,EyeTracking→PC,1.95,0.48,0.00,0.99,2.98,1.78,2.78,2.94,1.95,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,58.7,7.291,5
10,2026-08-14 21:49:57.237,2026-08-14 21:49:57.230,MoCap→PC,16.45,0.48,0.00,13.01,23.12,17.65,21.21,22.85,16.45,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
11,2026-08-14 21:49:57.246,2026-08-14 21:49:57.244,EyeTracking→PC,2.14,0.48,0.00,0.99,2.98,1.95,2.74,2.93,2.14,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,69.2,7.291,5
12,2026-08-14 21:49:57.249,2026-08-14 21:49:57.241,MoCap→PC,18.19,0.48,0.00,13.01,23.12,17.65,21.20,22.84,18.19,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
13,2026-08-14 21:49:57.259,2026-08-14 21:49:57.252,MoCap→PC,15.85,0.44,0.00,13.01,23.12,17.65,21.20,22.84,15.85,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
