序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
1,2026-08-14 19:51:40.785,2026-08-14 19:51:40.783,EyeTracking→PC,2.17,1.11,0.00,1.88,4.96,2.17,4.68,4.90,2.17,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,24.3,1.719,5
2,2026-08-14 19:51:40.795,2026-08-14 19:51:40.793,EyeTracking→PC,2.09,1.12,0.00,1.88,4.96,2.13,4.54,4.88,2.09,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,34.4,1.719,5
3,2026-08-14 19:51:40.796,2026-08-14 19:51:40.774,MoCap→PC,47.49,2.94,0.00,14.55,47.49,25.92,37.94,45.38,47.49,22.00,0.00,,false,,0.000,0.000,0.0,0.000,0
4,2026-08-14 19:51:40.805,2026-08-14 19:51:40.803,EyeTracking→PC,2.38,1.12,0.00,1.88,4.96,2.17,4.44,4.86,2.38,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,44.8,1.719,5
5,2026-08-14 19:51:40.809,2026-08-14 19:51:40.797,MoCap→PC,26.39,3.51,0.00,14.55,47.49,25.96,37.93,45.33,26.39,23.00,0.00,,false,,0.000,0.000,0.0,0.000,0
6,2026-08-14 19:51:40.816,2026-08-14 19:51:40.813,EyeTracking→PC,2.88,1.12,0.00,1.88,4.96,2.27,4.44,4.86,2.88,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,55.9,1.719,5
7,2026-08-14 19:51:40.826,2026-08-14 19:51:40.824,EyeTracking→PC,1.82,1.12,0.00,1.82,4.96,2.17,4.34,4.84,1.82,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,65.9,1.719,5
8,2026-08-14 19:51:40.836,2026-08-14 19:51:40.834,EyeTracking→PC,2.04,1.12,0.00,1.82,4.96,2.13,4.23,4.81,2.04,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,76.3,1.719,5
9,2026-08-14 19:51:40.847,2026-08-14 19:51:40.844,EyeTracking→PC,3.44,1.12,0.00,1.82,4.96,2.17,4.35,4.84,3.44,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,86.9,1.719,5
10,2026-08-14 19:51:40.852,2026-08-14 19:51:40.809,MoCap→PC,87.14,3.53,0.00,14.55,87.14,26.01,40.55,67.31,87.14,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
11,2026-08-14 19:51:40.857,2026-08-14 19:51:40.855,EyeTracking→PC,1.84,1.11,0.00,1.82,4.96,2.13,4.28,4.82,1.84,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,95.9,1.719,5
12,2026-08-14 19:51:40.867,2026-08-14 19:51:40.865,EyeTracking→PC,1.85,1.12,0.00,1.82,4.96,2.09,4.20,4.81,1.85,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,106.0,1.719,5
13,2026-08-14 19:51:40.881,2026-08-14 19:51:40.875,EyeTracking→PC,6.15,1.12,0.00,1.82,6.15,2.13,5.50,6.02,6.15,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,121.0,1.719,5
14,2026-08-14 19:51:40.888,2026-08-14 19:51:40.886,EyeTracking→PC,1.85,1.12,0.00,1.82,6.15,2.09,5.44,6.01,1.85,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,127.0,1.719,5
15,2026-08-14 19:51:40.889,2026-08-14 19:51:40.852,MoCap→PC,76.19,7.18,0.00,14.55,87.14,26.09,45.07,81.55,76.19,43.00,0.00,,false,,0.000,0.000,0.0,0.000,0
16,2026-08-14 19:51:40.899,2026-08-14 19:51:40.896,EyeTracking→PC,3.18,1.12,0.00,1.82,6.15,2.13,5.38,6.00,3.18,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,3.205,139.0,1.719,5
17,2026-08-14 19:51:40.908,2026-08-14 19:51:40.907,EyeTracking→PC,1.39,1.11,0.00,1.39,6.15,2.09,5.32,5.99,1.39,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,9.1,1.709,6
18,2026-08-14 19:51:40.917,2026-08-14 19:51:40.890,MoCap→PC,56.06,8.54,0.00,14.55,87.14,26.17,50.92,81.44,56.06,38.00,0.00,,false,,0.000,0.000,0.0,0.000,0
19,2026-08-14 19:51:40.919,2026-08-14 19:51:40.917,EyeTracking→PC,2.74,1.11,0.00,1.39,6.15,2.13,5.26,5.97,2.74,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,21.8,1.709,6
20,2026-08-14 19:51:40.929,2026-08-14 19:51:40.927,EyeTracking→PC,2.20,1.12,0.00,1.39,6.15,2.17,5.20,5.96,2.20,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,31.7,1.709,6
21,2026-08-14 19:51:40.934,2026-08-14 19:51:40.896,PC<->VR 状态同步,38.98,0.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,3989.775,2.927,34.4,1.709,6
22,2026-08-14 19:51:40.940,2026-08-14 19:51:40.917,MoCap→PC,47.27,8.68,0.00,14.55,87.14,26.28,50.49,81.33,47.27,27.00,0.00,,false,,0.000,0.000,0.0,0.000,0
23,2026-08-14 19:51:40.940,2026-08-14 19:51:40.937,EyeTracking→PC,3.46,0.46,0.00,1.39,6.15,2.19,5.14,5.95,3.46,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,41.5,1.709,6
24,2026-08-14 19:51:40.950,2026-08-14 19:51:40.948,EyeTracking→PC,1.92,0.48,0.00,1.39,6.15,2.17,5.08,5.94,1.92,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,51.5,1.709,6
25,2026-08-14 19:51:40.960,2026-08-14 19:51:40.958,EyeTracking→PC,1.85,0.46,0.00,1.39,6.15,2.13,5.02,5.93,1.85,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,60.0,1.709,6
26,2026-08-14 19:51:40.977,2026-08-14 19:51:40.969,EyeTracking→PC,8.26,0.48,0.00,1.39,8.26,2.17,6.15,7.84,8.26,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,78.1,1.709,6
27,2026-08-14 19:51:40.981,2026-08-14 19:51:40.979,EyeTracking→PC,1.99,0.48,0.00,1.39,8.26,2.13,6.09,7.82,1.99,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,81.6,1.709,6
28,2026-08-14 19:51:40.983,2026-08-14 19:51:40.941,MoCap→PC,87.84,8.52,0.00,14.55,87.84,26.39,62.10,87.46,87.84,24.00,0.00,,false,,0.000,0.000,0.0,0.000,0
29,2026-08-14 19:51:40.991,2026-08-14 19:51:40.989,EyeTracking→PC,2.14,0.46,0.00,1.39,8.26,2.14,6.03,7.80,2.14,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,91.6,1.709,6
30,2026-08-14 19:51:41.001,2026-08-14 19:51:41.000,EyeTracking→PC,1.36,0.48,0.00,1.36,8.26,2.11,5.97,7.77,1.36,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,101.7,1.709,6
31,2026-08-14 19:51:41.012,2026-08-14 19:51:41.010,EyeTracking→PC,1.89,0.48,0.00,1.36,8.26,2.09,5.91,7.75,1.89,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,112.7,1.709,6
32,2026-08-14 19:51:41.022,2026-08-14 19:51:41.020,EyeTracking→PC,2.48,0.48,0.00,1.36,8.26,2.11,5.85,7.73,2.48,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,122.8,1.709,6
33,2026-08-14 19:51:41.027,2026-08-14 19:51:40.984,MoCap→PC,89.50,9.92,0.00,14.55,89.50,26.41,78.92,88.59,89.50,43.00,0.00,,false,,0.000,0.000,0.0,0.000,0
34,2026-08-14 19:51:41.033,2026-08-14 19:51:41.031,EyeTracking→PC,1.82,0.48,0.00,1.36,8.26,2.09,5.79,7.71,1.82,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.775,2.927,133.8,1.709,6
35,2026-08-14 19:51:41.043,2026-08-14 19:51:41.041,EyeTracking→PC,2.00,0.48,0.00,1.36,8.26,2.06,5.73,7.69,2.00,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,3989.724,2.760,5.2,1.603,7
