frame,time_from_origin_s,centroid_x_m,centroid_y_m,centroid_z_m,valid
0,0.000000,-0.029146,0.863584,1.046749,1
1,0.011111,-0.029158,0.863597,1.046718,1
2,0.022222,-0.029170,0.863586,1.046668,1
3,0.033333,-0.029166,0.863598,1.046612,1
4,0.044444,-0.029167,0.863636,1.046571,1
5,0.055556,-0.029184,0.863622,1.046509,1
6,0.066667,-0.029193,0.863634,1.046462,1
7,0.077778,-0.029169,0.863642,1.046408,1
8,0.088889,-0.029216,0.863596,1.046399,1
9,0.100000,-0.029188,0.863615,1.046315,1
10,0.111111,-0.029325,0.863063,1.046039,1
11,0.122222,-0.029324,0.863041,1.046008,1
12,0.133333,-0.029341,0.863039,1.045955,1
13,0.144444,-0.029304,0.863049,1.045884,1
14,0.155556,-0.029350,0.863033,1.045865,1
15,0.166667,-0.029296,0.863032,1.045806,1
16,0.177778,-0.029329,0.863015,1.045778,1
17,0.188889,-0.029355,0.862995,1.045716,1
18,0.200000,-0.029368,0.862996,1.045683,1
19,0.211111,-0.029363,0.862996,1.045668,1
20,0.222222,-0.029359,0.862994,1.045620,1
21,0.233333,-0.029386,0.862998,1.045573,1
22,0.244444,-0.029381,0.862973,1.045543,1
23,0.255556,-0.029420,0.862964,1.045504,1
24,0.266667,-0.029402,0.862997,1.045499,1
25,0.277778,-0.029443,0.862964,1.045454,1
26,0.288889,-0.029439,0.862986,1.045420,1
27,0.300000,-0.029471,0.862946,1.045387,1
28,0.311111,-0.029477,0.862950,1.045380,1
29,0.322222,-0.029485,0.862940,1.045349,1
30,0.333333,-0.029510,0.862924,1.045325,1
31,0.344444,-0.029509,0.862920,1.045325,1
32,0.355556,-0.029527,0.862903,1.045301,1
33,0.366667,-0.029550,0.862875,1.045280,1
34,0.377778,-0.029564,0.862873,1.045256,1
35,0.388889,-0.029559,0.862881,1.045260,1
36,0.400000,-0.029557,0.862871,1.045274,1
37,0.411111,-0.029571,0.862866,1.045260,1
38,0.422222,-0.029603,0.862853,1.045258,1
39,0.433333,-0.029578,0.862863,1.045250,1
40,0.444444,-0.029556,0.862849,1.045297,1
41,0.455556,-0.029560,0.862832,1.045280,1
42,0.466667,-0.029572,0.862819,1.045305,1
43,0.477778,-0.029545,0.862815,1.045327,1
44,0.488889,-0.029533,0.862842,1.045346,1
45,0.500000,-0.029558,0.862784,1.045344,1
46,0.511111,-0.029560,0.862768,1.045386,1
47,0.522222,-0.029589,0.862782,1.045407,1
48,0.533333,-0.029579,0.862774,1.045459,1
49,0.544444,-0.029541,0.862804,1.045505,1
50,0.555556,-0.029487,0.862838,1.045527,1
51,0.566667,-0.029462,0.862859,1.045549,1
52,0.577778,-0.029469,0.862795,1.045599,1
53,0.588889,-0.029482,0.862792,1.045644,1
54,0.600000,-0.029477,0.862803,1.045703,1
55,0.611111,-0.029490,0.862789,1.045748,1
56,0.622222,-0.029470,0.862781,1.045792,1
57,0.633333,-0.029469,0.862773,1.045827,1
58,0.644444,-0.029500,0.862719,1.045892,1
59,0.655556,-0.029469,0.862758,1.045914,1
60,0.666667,-0.029530,0.862696,1.045995,1
61,0.677778,-0.029495,0.862715,1.046047,1
62,0.688889,-0.029531,0.862685,1.046129,1
63,0.700000,-0.029547,0.862707,1.046182,1
64,0.711111,-0.029523,0.862710,1.046222,1
65,0.722222,-0.029558,0.862664,1.046264,1
66,0.733333,-0.029544,0.862671,1.046327,1
67,0.744444,-0.029578,0.862666,1.046372,1
68,0.755556,-0.029588,0.862666,1.046419,1
69,0.766667,-0.029569,0.862694,1.046483,1
70,0.777778,-0.029576,0.862697,1.046518,1
71,0.788889,-0.029552,0.862670,1.046589,1
72,0.800000,-0.029517,0.862674,1.046636,1
73,0.811111,-0.029584,0.862601,1.046716,1
74,0.822222,-0.029538,0.862645,1.046767,1
75,0.833333,-0.029552,0.862686,1.046858,1
76,0.844444,-0.029541,0.862812,1.046953,1
77,0.855556,-0.029484,0.862984,1.047002,1
78,0.866667,-0.029512,0.863059,1.047112,1
79,0.877778,-0.029477,0.863115,1.047189,1
80,0.888889,-0.029499,0.863134,1.047264,1
81,0.900000,-0.029502,0.863125,1.047297,1
82,0.911111,-0.029488,0.863153,1.047342,1
83,0.922222,-0.029463,0.863184,1.047373,1
