编号,日期,时间,额中x,y,z,左眼x,y,z,右眼x,y,z,头显位置x,y,z,头显朝向x,y,z
0,2026-08-14,'19:51:40.239,-21.956,0.176,-24.702,-21.963,0.176,-24.702,-21.948,0.176,-24.703,--,--,--,--,--,--
1,2026-08-14,'19:51:40.240,-21.956,0.176,-24.702,-21.963,0.176,-24.702,-21.948,0.176,-24.703,--,--,--,--,--,--
2,2026-08-14,'19:51:40.252,-21.965,0.175,-24.612,-21.972,0.175,-24.612,-21.957,0.175,-24.613,--,--,--,--,--,--
3,2026-08-14,'19:51:40.259,-21.965,0.175,-24.612,-21.972,0.175,-24.612,-21.957,0.175,-24.613,--,--,--,--,--,--
4,2026-08-14,'19:51:40.263,-21.965,0.175,-24.612,-21.972,0.175,-24.612,-21.957,0.175,-24.613,-22.14,1.71,-28.28,1.816365,2.211221,358.9784
5,2026-08-14,'19:51:40.272,-21.965,0.175,-24.612,-21.972,0.175,-24.612,-21.957,0.175,-24.613,-22.14,1.71,-28.28,1.816365,2.211221,358.9784
6,2026-08-14,'19:51:40.281,-21.955,0.174,-24.459,-21.963,0.174,-24.459,-21.948,0.174,-24.46,-22.14,1.71,-28.28,1.816365,2.211221,358.9784
7,2026-08-14,'19:51:40.292,-21.955,0.174,-24.459,-21.963,0.174,-24.459,-21.948,0.174,-24.46,-22.14,1.71,-28.28,1.816365,2.211221,358.9784
8,2026-08-14,'19:51:40.303,-21.955,0.174,-24.459,-21.963,0.174,-24.459,-21.948,0.174,-24.46,-22.14,1.71,-28.28,2.024866,1.834924,358.9122
8,2026-08-14,'19:51:40.303,-21.973,0.175,-24.609,-21.98,0.175,-24.608,-21.965,0.175,-24.61,-22.14,1.71,-28.28,2.024866,1.834924,358.9122
10,2026-08-14,'19:51:40.312,-21.973,0.175,-24.609,-21.98,0.175,-24.608,-21.965,0.175,-24.61,-22.14,1.71,-28.28,2.024866,1.834924,358.9122
11,2026-08-14,'19:51:40.322,-21.973,0.175,-24.609,-21.98,0.175,-24.608,-21.965,0.175,-24.61,-22.14,1.71,-28.28,2.024866,1.834924,358.9122
12,2026-08-14,'19:51:40.323,-21.973,0.175,-24.609,-21.98,0.175,-24.608,-21.965,0.175,-24.61,-22.13,1.71,-28.28,2.006392,1.676899,358.8376
13,2026-08-14,'19:51:40.332,-21.996,0.175,-24.607,-22.004,0.175,-24.607,-21.989,0.175,-24.608,-22.13,1.71,-28.28,2.006392,1.676899,358.8376
14,2026-08-14,'19:51:40.343,-21.996,0.175,-24.607,-22.004,0.175,-24.607,-21.989,0.175,-24.608,-22.13,1.71,-28.28,1.983446,1.506151,358.7398
15,2026-08-14,'19:51:40.344,-21.996,0.175,-24.607,-22.004,0.175,-24.607,-21.989,0.175,-24.608,-22.13,1.71,-28.28,1.983446,1.506151,358.7398
16,2026-08-14,'19:51:40.352,-21.996,0.175,-24.607,-22.004,0.175,-24.607,-21.989,0.175,-24.608,-22.13,1.71,-28.28,1.983446,1.506151,358.7398
17,2026-08-14,'19:51:40.366,-21.973,0.175,-24.643,-21.981,0.175,-24.642,-21.966,0.175,-24.644,-22.13,1.71,-28.28,1.983446,1.506151,358.7398
18,2026-08-14,'19:51:40.366,-21.973,0.175,-24.643,-21.981,0.175,-24.642,-21.966,0.175,-24.644,-22.13,1.71,-28.28,1.98136,1.361836,358.6323
19,2026-08-14,'19:51:40.377,-21.977,0.175,-24.642,-21.984,0.175,-24.641,-21.969,0.175,-24.643,-22.13,1.71,-28.28,1.98136,1.361836,358.6323
20,2026-08-14,'19:51:40.386,-21.977,0.175,-24.642,-21.984,0.175,-24.641,-21.969,0.175,-24.643,-22.13,1.71,-28.28,1.980449,1.2541,358.5289
21,2026-08-14,'19:51:40.387,-21.977,0.175,-24.642,-21.984,0.175,-24.641,-21.969,0.175,-24.643,-22.13,1.71,-28.28,1.980449,1.2541,358.5289
22,2026-08-14,'19:51:40.398,-21.986,0.175,-24.658,-21.994,0.175,-24.658,-21.979,0.175,-24.659,-22.13,1.71,-28.28,1.980449,1.2541,358.5289
23,2026-08-14,'19:51:40.405,-21.986,0.175,-24.658,-21.994,0.175,-24.658,-21.979,0.175,-24.659,-22.12844,1.71,-28.27844,1.965289,1.232761,358.4781
24,2026-08-14,'19:51:40.409,-21.986,0.175,-24.658,-21.994,0.175,-24.658,-21.979,0.175,-24.659,-22.12844,1.71,-28.27844,1.965289,1.232761,358.4781
25,2026-08-14,'19:51:40.418,-21.986,0.175,-24.658,-21.994,0.175,-24.658,-21.979,0.175,-24.659,-22.12844,1.71,-28.27844,1.965289,1.232761,358.4781
26,2026-08-14,'19:51:40.425,-21.986,0.175,-24.658,-21.994,0.175,-24.658,-21.979,0.175,-24.659,-22.12055,1.71,-28.27055,1.931769,1.163655,358.4224
27,2026-08-14,'19:51:40.429,-21.975,0.176,-24.673,-21.983,0.176,-24.672,-21.968,0.176,-24.674,-22.12055,1.71,-28.27055,1.931769,1.163655,358.4224
28,2026-08-14,'19:51:40.439,-21.975,0.176,-24.673,-21.983,0.176,-24.672,-21.968,0.176,-24.674,-22.12055,1.71,-28.27055,1.931769,1.163655,358.4224
29,2026-08-14,'19:51:40.445,-21.975,0.176,-24.673,-21.983,0.176,-24.672,-21.968,0.176,-24.674,-22.12,1.71,-28.27,1.931769,1.163655,358.4224
30,2026-08-14,'19:51:40.449,-21.975,0.176,-24.673,-21.983,0.176,-24.672,-21.968,0.176,-24.674,-22.12,1.71,-28.27,1.931769,1.163655,358.4224
31,2026-08-14,'19:51:40.464,-21.975,0.176,-24.673,-21.983,0.176,-24.672,-21.968,0.176,-24.674,-22.12,1.71,-28.27,1.90824,1.08051,358.3492
32,2026-08-14,'19:51:40.466,-21.975,0.175,-24.608,-21.982,0.175,-24.608,-21.967,0.175,-24.609,-22.12,1.71,-28.27,1.90824,1.08051,358.3492
33,2026-08-14,'19:51:40.470,-21.975,0.175,-24.608,-21.982,0.175,-24.608,-21.967,0.175,-24.609,-22.12,1.71,-28.27,1.90824,1.08051,358.3492
34,2026-08-14,'19:51:40.480,-21.974,0.175,-24.555,-21.981,0.175,-24.555,-21.966,0.175,-24.556,-22.12,1.71,-28.27,1.90824,1.08051,358.3492
35,2026-08-14,'19:51:40.486,-21.974,0.175,-24.555,-21.981,0.175,-24.555,-21.966,0.175,-24.556,-22.12,1.71,-28.27,1.879749,0.9698322,358.2451
36,2026-08-14,'19:51:40.491,-21.974,0.175,-24.555,-21.981,0.175,-24.555,-21.966,0.175,-24.556,-22.12,1.71,-28.27,1.879749,0.9698322,358.2451
37,2026-08-14,'19:51:40.500,-21.974,0.175,-24.555,-21.981,0.175,-24.555,-21.966,0.175,-24.556,-22.12,1.71,-28.27,1.879749,0.9698322,358.2451
38,2026-08-14,'19:51:40.506,-21.974,0.175,-24.555,-21.981,0.175,-24.555,-21.966,0.175,-24.556,-22.12,1.71,-28.27,1.827249,0.8231481,358.1542
39,2026-08-14,'19:51:40.512,-21.96,0.174,-24.509,-21.968,0.174,-24.509,-21.953,0.174,-24.51,-22.12,1.71,-28.27,1.827249,0.8231481,358.1542
40,2026-08-14,'19:51:40.523,-21.96,0.174,-24.509,-21.968,0.174,-24.509,-21.953,0.174,-24.51,-22.12,1.71,-28.27,1.827249,0.8231481,358.1542
41,2026-08-14,'19:51:40.527,-21.96,0.174,-24.509,-21.968,0.174,-24.509,-21.953,0.174,-24.51,-22.10985,1.71,-28.27,1.827249,0.8231481,358.1542
42,2026-08-14,'19:51:40.532,-21.96,0.174,-24.509,-21.968,0.174,-24.509,-21.953,0.174,-24.51,-22.10985,1.71,-28.27,1.827249,0.8231481,358.1542
43,2026-08-14,'19:51:40.543,-21.985,0.174,-24.503,-21.992,0.174,-24.503,-21.977,0.174,-24.504,-22.10985,1.71,-28.27,1.827249,0.8231481,358.1542
44,2026-08-14,'19:51:40.546,-21.985,0.174,-24.503,-21.992,0.174,-24.503,-21.977,0.174,-24.504,-22.10628,1.71,-28.27,1.843112,0.6225916,358.1054
45,2026-08-14,'19:51:40.554,-21.985,0.174,-24.503,-21.992,0.174,-24.503,-21.977,0.174,-24.504,-22.10628,1.71,-28.27,1.843112,0.6225916,358.1054
46,2026-08-14,'19:51:40.564,-22.024,0.175,-24.603,-22.031,0.175,-24.602,-22.016,0.175,-24.603,-22.10628,1.71,-28.27,1.843112,0.6225916,358.1054
47,2026-08-14,'19:51:40.566,-22.024,0.175,-24.603,-22.031,0.175,-24.602,-22.016,0.175,-24.603,-22.10237,1.71,-28.27,1.884538,0.351509,358.0879
48,2026-08-14,'19:51:40.575,-22.024,0.175,-24.603,-22.031,0.175,-24.602,-22.016,0.175,-24.603,-22.10237,1.71,-28.27,1.884538,0.351509,358.0879
49,2026-08-14,'19:51:40.584,-22.024,0.175,-24.603,-22.031,0.175,-24.602,-22.016,0.175,-24.603,-22.10237,1.71,-28.27,1.884538,0.351509,358.0879
50,2026-08-14,'19:51:40.586,-22.024,0.175,-24.603,-22.031,0.175,-24.602,-22.016,0.175,-24.603,-22.1,1.71,-28.27,1.995445,0.03400887,358.0518
51,2026-08-14,'19:51:40.595,-22.019,0.175,-24.573,-22.027,0.175,-24.573,-22.012,0.175,-24.573,-22.1,1.71,-28.27,1.995445,0.03400887,358.0518
52,2026-08-14,'19:51:40.605,-22.019,0.175,-24.573,-22.027,0.175,-24.573,-22.012,0.175,-24.573,-22.1,1.71,-28.27,1.995445,0.03400887,358.0518
53,2026-08-14,'19:51:40.605,-22.019,0.175,-24.573,-22.027,0.175,-24.573,-22.012,0.175,-24.573,-22.1,1.71,-28.27,1.995445,0.03400887,358.0518
54,2026-08-14,'19:51:40.616,-22.019,0.175,-24.573,-22.027,0.175,-24.573,-22.012,0.175,-24.573,-22.1,1.71,-28.27,1.995445,0.03400887,358.0518
55,2026-08-14,'19:51:40.627,-22.029,0.174,-24.449,-22.037,0.174,-24.448,-22.021,0.174,-24.449,-22.1,1.71,-28.27,1.995445,0.03400887,358.0518
56,2026-08-14,'19:51:40.628,-22.029,0.174,-24.449,-22.037,0.174,-24.448,-22.021,0.174,-24.449,-22.1,1.71,-28.26289,2.166885,359.6761,358.0609
57,2026-08-14,'19:51:40.638,-22.029,0.174,-24.449,-22.037,0.174,-24.448,-22.021,0.174,-24.449,-22.1,1.71,-28.26289,2.166885,359.6761,358.0609
58,2026-08-14,'19:51:40.647,-22.194,0.177,-24.766,-22.201,0.177,-24.766,-22.186,0.177,-24.766,-22.1,1.71,-28.26289,2.166885,359.6761,358.0609
59,2026-08-14,'19:51:40.648,-22.194,0.177,-24.766,-22.201,0.177,-24.766,-22.186,0.177,-24.766,-22.09665,1.71,-28.26,2.265046,359.3137,358.0755
60,2026-08-14,'19:51:40.658,-22.194,0.177,-24.766,-22.201,0.177,-24.766,-22.186,0.177,-24.766,-22.09665,1.71,-28.26,2.265046,359.3137,358.0755
61,2026-08-14,'19:51:40.667,-22.194,0.177,-24.766,-22.201,0.177,-24.766,-22.186,0.177,-24.766,-22.09665,1.71,-28.26,2.265046,359.3137,358.0755
62,2026-08-14,'19:51:40.667,-22.194,0.177,-24.766,-22.201,0.177,-24.766,-22.186,0.177,-24.766,-22.09068,1.71,-28.26,2.286529,358.9569,358.1941
63,2026-08-14,'19:51:40.677,-22.335,0.177,-24.772,-22.343,0.177,-24.772,-22.327,0.177,-24.772,-22.09068,1.71,-28.26,2.286529,358.9569,358.1941
64,2026-08-14,'19:51:40.688,-22.335,0.177,-24.772,-22.343,0.177,-24.772,-22.327,0.177,-24.772,-22.09068,1.71,-28.26,2.286529,358.9569,358.1941
65,2026-08-14,'19:51:40.698,-22.335,0.177,-24.772,-22.343,0.177,-24.772,-22.327,0.177,-24.772,-22.09,1.71,-28.26,2.286529,358.9569,358.1941
66,2026-08-14,'19:51:40.698,-22.335,0.177,-24.772,-22.343,0.177,-24.772,-22.327,0.177,-24.772,-22.09,1.71,-28.26,2.286529,358.9569,358.1941
67,2026-08-14,'19:51:40.709,-22.357,0.177,-24.784,-22.364,0.177,-24.784,-22.349,0.177,-24.784,-22.09,1.71,-28.26,2.286529,358.9569,358.1941
68,2026-08-14,'19:51:40.719,-22.357,0.177,-24.784,-22.364,0.177,-24.784,-22.349,0.177,-24.784,-22.09,1.71,-28.26,2.286529,358.9569,358.1941
69,2026-08-14,'19:51:40.726,-22.357,0.177,-24.784,-22.364,0.177,-24.784,-22.349,0.177,-24.784,-22.08349,1.71,-28.26,2.239508,358.5812,358.2805
70,2026-08-14,'19:51:40.734,-22.357,0.177,-24.784,-22.364,0.177,-24.784,-22.349,0.177,-24.784,-22.08349,1.71,-28.26,2.239508,358.5812,358.2805
71,2026-08-14,'19:51:40.745,-22.367,0.177,-24.784,-22.374,0.177,-24.785,-22.359,0.177,-24.784,-22.08349,1.71,-28.26,2.239508,358.5812,358.2805
72,2026-08-14,'19:51:40.755,-22.358,0.177,-24.83,-22.366,0.177,-24.831,-22.351,0.177,-24.83,-22.08349,1.71,-28.26,2.239508,358.5812,358.2805
73,2026-08-14,'19:51:40.756,-22.358,0.177,-24.83,-22.366,0.177,-24.831,-22.351,0.177,-24.83,-22.08,1.71,-28.26,2.182027,358.205,358.3197
74,2026-08-14,'19:51:40.765,-22.358,0.177,-24.83,-22.366,0.177,-24.831,-22.351,0.177,-24.83,-22.08,1.71,-28.26,2.182027,358.205,358.3197
75,2026-08-14,'19:51:40.778,-22.367,0.177,-24.827,-22.374,0.177,-24.827,-22.359,0.177,-24.826,-22.08,1.71,-28.26,2.182027,358.205,358.3197
76,2026-08-14,'19:51:40.784,-22.367,0.177,-24.827,-22.374,0.177,-24.827,-22.359,0.177,-24.826,-22.07242,1.71,-28.26,2.122472,357.7022,358.5083
77,2026-08-14,'19:51:40.786,-22.367,0.177,-24.827,-22.374,0.177,-24.827,-22.359,0.177,-24.826,-22.07242,1.71,-28.26,2.122472,357.7022,358.5083
78,2026-08-14,'19:51:40.796,-22.367,0.177,-24.827,-22.374,0.177,-24.827,-22.359,0.177,-24.826,-22.07242,1.71,-28.26,2.122472,357.7022,358.5083
79,2026-08-14,'19:51:40.806,-22.322,0.177,-24.766,-22.329,0.177,-24.767,-22.314,0.177,-24.765,-22.07242,1.71,-28.26,2.122472,357.7022,358.5083
80,2026-08-14,'19:51:40.809,-22.322,0.177,-24.766,-22.329,0.177,-24.767,-22.314,0.177,-24.765,-22.07,1.71,-28.25134,1.989789,357.4704,358.5568
81,2026-08-14,'19:51:40.818,-22.322,0.177,-24.766,-22.329,0.177,-24.767,-22.314,0.177,-24.765,-22.07,1.71,-28.25134,1.989789,357.4704,358.5568
82,2026-08-14,'19:51:40.826,-22.322,0.177,-24.766,-22.329,0.177,-24.767,-22.314,0.177,-24.765,-22.06321,1.71,-28.25,1.854001,357.2537,358.7529
83,2026-08-14,'19:51:40.828,-22.322,0.177,-24.766,-22.329,0.177,-24.767,-22.314,0.177,-24.765,-22.06321,1.71,-28.25,1.854001,357.2537,358.7529
84,2026-08-14,'19:51:40.838,-22.335,0.176,-24.702,-22.342,0.176,-24.702,-22.327,0.176,-24.701,-22.06321,1.71,-28.25,1.854001,357.2537,358.7529
85,2026-08-14,'19:51:40.844,-22.335,0.176,-24.702,-22.342,0.176,-24.702,-22.327,0.176,-24.701,-22.06,1.71,-28.25,1.854001,357.2537,358.7529
86,2026-08-14,'19:51:40.849,-22.335,0.176,-24.702,-22.342,0.176,-24.702,-22.327,0.176,-24.701,-22.06,1.71,-28.25,1.854001,357.2537,358.7529
87,2026-08-14,'19:51:40.858,-22.353,0.177,-24.764,-22.36,0.177,-24.765,-22.345,0.177,-24.763,-22.06,1.71,-28.25,1.854001,357.2537,358.7529
88,2026-08-14,'19:51:40.868,-22.353,0.177,-24.764,-22.36,0.177,-24.765,-22.345,0.177,-24.763,-22.06,1.71,-28.25,1.854001,357.2537,358.7529
89,2026-08-14,'19:51:40.870,-22.353,0.177,-24.764,-22.36,0.177,-24.765,-22.345,0.177,-24.763,-22.05615,1.71,-28.25,1.781264,357.0838,358.9274
90,2026-08-14,'19:51:40.883,-22.353,0.177,-24.764,-22.36,0.177,-24.765,-22.345,0.177,-24.763,-22.05615,1.71,-28.25,1.781264,357.0838,358.9274
91,2026-08-14,'19:51:40.889,-22.359,0.177,-24.781,-22.367,0.177,-24.782,-22.351,0.177,-24.781,-22.05615,1.71,-28.25,1.781264,357.0838,358.9274
92,2026-08-14,'19:51:40.897,-22.359,0.177,-24.781,-22.367,0.177,-24.782,-22.351,0.177,-24.781,-22.05,1.71,-28.25,1.765222,356.958,358.9632
93,2026-08-14,'19:51:40.901,-22.359,0.177,-24.781,-22.367,0.177,-24.782,-22.351,0.177,-24.781,-22.05,1.71,-28.25,1.765222,356.958,358.9632
94,2026-08-14,'19:51:40.909,-22.359,0.177,-24.781,-22.367,0.177,-24.782,-22.351,0.177,-24.781,-22.05,1.71,-28.25,1.765222,356.958,358.9632
95,2026-08-14,'19:51:40.914,-22.359,0.177,-24.781,-22.367,0.177,-24.782,-22.351,0.177,-24.781,-22.04594,1.71,-28.24594,1.91544,356.8427,358.9053
96,2026-08-14,'19:51:40.922,-22.372,0.176,-24.738,-22.38,0.176,-24.738,-22.365,0.176,-24.738,-22.04594,1.71,-28.24594,1.91544,356.8427,358.9053
97,2026-08-14,'19:51:40.932,-22.372,0.176,-24.738,-22.38,0.176,-24.738,-22.365,0.176,-24.738,-22.04594,1.71,-28.24594,1.91544,356.8427,358.9053
98,2026-08-14,'19:51:40.934,-22.372,0.176,-24.738,-22.38,0.176,-24.738,-22.365,0.176,-24.738,-22.04,1.71,-28.24,2.163708,356.739,358.7722
99,2026-08-14,'19:51:40.942,-22.37,0.177,-24.755,-22.377,0.177,-24.755,-22.362,0.177,-24.755,-22.04,1.71,-28.24,2.163708,356.739,358.7722
100,2026-08-14,'19:51:40.952,-22.37,0.177,-24.755,-22.377,0.177,-24.755,-22.362,0.177,-24.755,-22.04,1.71,-28.24,2.163708,356.739,358.7722
101,2026-08-14,'19:51:40.957,-22.37,0.177,-24.755,-22.377,0.177,-24.755,-22.362,0.177,-24.755,-22.04,1.71,-28.24,2.163708,356.739,358.7722
102,2026-08-14,'19:51:40.960,-22.374,0.176,-24.712,-22.382,0.176,-24.712,-22.367,0.176,-24.712,-22.04,1.71,-28.24,2.163708,356.739,358.7722
103,2026-08-14,'19:51:40.978,-22.374,0.176,-24.712,-22.382,0.176,-24.712,-22.367,0.176,-24.712,-22.04,1.71,-28.24,2.475587,356.6542,358.6176
104,2026-08-14,'19:51:40.978,-22.374,0.176,-24.712,-22.382,0.176,-24.712,-22.367,0.176,-24.712,-22.04,1.71,-28.24,2.475587,356.6542,358.6176
105,2026-08-14,'19:51:40.982,-22.41,0.176,-24.671,-22.418,0.176,-24.671,-22.402,0.176,-24.671,-22.04,1.71,-28.24,2.475587,356.6542,358.6176
106,2026-08-14,'19:51:40.992,-22.41,0.176,-24.671,-22.418,0.176,-24.671,-22.402,0.176,-24.671,-22.04,1.71,-28.24,2.475587,356.6542,358.6176
107,2026-08-14,'19:51:40.994,-22.41,0.176,-24.671,-22.418,0.176,-24.671,-22.402,0.176,-24.671,-22.03427,1.71,-28.24,2.644127,356.6516,358.5533
108,2026-08-14,'19:51:41.002,-22.4,0.177,-24.805,-22.407,0.177,-24.805,-22.392,0.177,-24.806,-22.03427,1.71,-28.24,2.644127,356.6516,358.5533
109,2026-08-14,'19:51:41.011,-22.4,0.177,-24.805,-22.407,0.177,-24.805,-22.392,0.177,-24.806,-22.03,1.71,-28.23817,2.948087,356.63,358.4716
110,2026-08-14,'19:51:41.013,-22.4,0.177,-24.805,-22.407,0.177,-24.805,-22.392,0.177,-24.806,-22.03,1.71,-28.23817,2.948087,356.63,358.4716
111,2026-08-14,'19:51:41.023,-22.403,0.176,-24.723,-22.411,0.176,-24.723,-22.396,0.176,-24.723,-22.03,1.71,-28.23817,2.948087,356.63,358.4716
112,2026-08-14,'19:51:41.034,-22.403,0.176,-24.723,-22.411,0.176,-24.723,-22.396,0.176,-24.723,-22.03,1.71,-28.23817,2.948087,356.63,358.4716
113,2026-08-14,'19:51:41.035,-22.403,0.176,-24.723,-22.411,0.176,-24.723,-22.396,0.176,-24.723,-22.03,1.71,-28.23527,3.052751,356.6419,358.5038
114,2026-08-14,'19:51:41.044,-22.402,0.176,-24.741,-22.41,0.176,-24.742,-22.395,0.176,-24.741,-22.03,1.71,-28.23527,3.052751,356.6419,358.5038
115,2026-08-14,'19:51:41.056,-22.402,0.176,-24.741,-22.41,0.176,-24.742,-22.395,0.176,-24.741,-22.03,1.71,-28.23527,3.052751,356.6419,358.5038
