序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
1,2026-08-29 17:31:01.839,2026-08-29 17:31:01.807,PC<->VR 状态同步,32.12,0.10,0.00,31.80,32.12,31.95,32.11,32.12,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.723,4.037,19.1,2.749,5
2,2026-08-29 17:31:01.844,2026-08-29 17:31:01.842,EyeTracking→PC,2.63,1.94,0.00,2.23,6.50,2.63,6.11,6.42,2.63,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,26.8,2.749,5
3,2026-08-29 17:31:01.854,2026-08-29 17:31:01.822,PC<->VR 状态同步,32.12,0.10,0.00,31.80,32.12,31.95,32.12,32.12,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.723,4.037,34.7,2.749,5
4,2026-08-29 17:31:01.855,2026-08-29 17:31:01.852,EyeTracking→PC,2.89,1.94,0.00,2.23,6.50,2.76,5.96,6.39,2.89,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,36.9,2.749,5
5,2026-08-29 17:31:01.865,2026-08-29 17:31:01.863,EyeTracking→PC,2.30,1.94,0.00,2.23,6.50,2.63,5.78,6.35,2.30,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,46.8,2.749,5
6,2026-08-29 17:31:01.872,2026-08-29 17:31:01.840,PC<->VR 状态同步,32.12,0.10,0.00,31.80,32.12,31.95,32.12,32.12,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.723,4.037,52.2,2.749,5
7,2026-08-29 17:31:01.876,2026-08-29 17:31:01.873,EyeTracking→PC,2.73,1.94,0.00,2.23,6.50,2.68,5.60,6.32,2.73,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,56.9,2.749,5
8,2026-08-29 17:31:01.886,2026-08-29 17:31:01.883,EyeTracking→PC,3.15,1.94,0.00,2.23,6.50,2.73,5.49,6.30,3.15,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,67.9,2.749,5
9,2026-08-29 17:31:01.888,2026-08-29 17:31:01.856,PC<->VR 状态同步,32.16,0.10,0.00,31.80,32.12,31.95,32.12,32.12,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.723,4.037,68.3,2.749,5
10,2026-08-29 17:31:01.896,2026-08-29 17:31:01.894,EyeTracking→PC,2.45,1.94,0.00,2.23,6.50,2.68,5.33,6.26,2.45,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,77.5,2.749,5
11,2026-08-29 17:31:01.903,2026-08-29 17:31:01.871,PC<->VR 状态同步,32.16,0.09,0.00,31.80,32.16,31.95,32.12,32.15,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.723,4.037,84.0,2.749,5
12,2026-08-29 17:31:01.908,2026-08-29 17:31:01.904,EyeTracking→PC,3.76,1.94,0.00,2.23,6.50,2.73,5.41,6.28,3.76,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,89.1,2.749,5
13,2026-08-29 17:31:01.917,2026-08-29 17:31:01.914,EyeTracking→PC,3.12,1.95,0.00,2.23,6.50,2.81,5.27,6.25,3.12,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,99.0,2.749,5
14,2026-08-29 17:31:01.919,2026-08-29 17:31:01.887,PC<->VR 状态同步,32.16,0.09,0.00,31.80,32.16,31.95,32.14,32.16,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.723,4.037,99.2,2.749,5
15,2026-08-29 17:31:01.927,2026-08-29 17:31:01.925,EyeTracking→PC,2.46,1.94,0.00,2.23,6.50,2.73,5.13,6.23,2.46,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,110.0,2.749,5
16,2026-08-29 17:31:01.936,2026-08-29 17:31:01.904,PC<->VR 状态同步,32.16,0.08,0.00,31.80,32.16,31.95,32.16,32.16,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.723,4.037,116.4,2.749,5
17,2026-08-29 17:31:01.938,2026-08-29 17:31:01.935,EyeTracking→PC,2.78,1.94,0.00,2.23,6.50,2.76,5.00,6.20,2.78,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.723,4.037,120.1,2.749,5
18,2026-08-29 17:31:01.947,2026-08-29 17:31:01.945,EyeTracking→PC,1.81,1.95,0.00,1.81,6.50,2.73,4.86,6.17,1.81,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.657,3.850,8.0,2.099,6
19,2026-08-29 17:31:01.956,2026-08-29 17:31:01.924,PC<->VR 状态同步,32.16,0.07,0.00,31.80,32.16,31.95,32.16,32.16,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.657,3.850,17.1,2.099,6
20,2026-08-29 17:31:01.959,2026-08-29 17:31:01.956,EyeTracking→PC,3.59,1.94,0.00,1.81,6.50,2.76,4.72,6.14,3.59,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.657,3.850,21.0,2.099,6
21,2026-08-29 17:31:01.969,2026-08-29 17:31:01.966,EyeTracking→PC,2.69,1.94,0.00,1.81,6.50,2.73,4.58,6.12,2.69,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.657,3.850,30.3,2.099,6
22,2026-08-29 17:31:01.973,2026-08-29 17:31:01.942,PC<->VR 状态同步,31.56,0.13,0.00,31.80,32.16,32.01,32.16,32.16,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,62297.657,3.850,33.9,2.099,6
23,2026-08-29 17:31:01.979,2026-08-29 17:31:01.976,EyeTracking→PC,3.10,1.95,0.00,1.81,6.50,2.76,4.45,6.09,3.10,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,62297.657,3.850,40.3,2.099,6
