序号,采集时间,商品ID,商品名称,位置X,位置Y,位置Z,旋转X,旋转Y,旋转Z
1,2026-08-29 17:31:01.295,1,AdGai(Clone),-1.230000,0.890000,-1.800000,359.922300,0.713029,359.761900
2,2026-08-29 17:31:01.296,2,AdGai (1)(Clone),-1.230000,0.890000,-1.960000,359.920300,359.762500,359.762500
3,2026-08-29 17:31:01.296,3,AdGai (2)(Clone),-1.350000,0.890000,-1.960000,359.920300,359.762500,359.762500
4,2026-08-29 17:31:01.296,4,AdGai (3)(Clone),-1.350000,0.890000,-1.800000,359.920300,359.762500,359.762500
5,2026-08-29 17:31:01.296,5,Aoliao_nailao(Clone),0.120000,1.270000,-1.840000,0.078714,359.762200,359.762200
6,2026-08-29 17:31:01.296,6,Aoliao_nailao (1)(Clone),0.120000,1.320000,-1.840000,2.138662,359.919300,359.919300
7,2026-08-29 17:31:01.296,7,Aoliao_nailao (2)(Clone),0.120000,1.270000,-1.800000,0.237675,359.921000,0.079043
8,2026-08-29 17:31:01.296,8,Aoliao_nailao (3)(Clone),0.120000,1.320000,-1.790000,2.138867,359.925200,0.236265
9,2026-08-29 17:31:01.296,9,Aoliao_shengri(Clone),0.570000,1.270000,-1.840000,0.079042,359.762300,359.920600
10,2026-08-29 17:31:01.296,10,Aoliao_shengri (1)(Clone),0.570000,1.320000,-1.840000,359.287000,359.922300,359.762800
11,2026-08-29 17:31:01.296,11,Aoliao_shengri (2)(Clone),0.570000,1.270000,-1.790000,359.603900,359.921100,359.921100
12,2026-08-29 17:31:01.296,12,Aoliao_shengri (3)(Clone),0.570000,1.320000,-1.790000,0.871337,359.921400,0.078611
13,2026-08-29 17:31:01.296,13,Aoliao_yuanwei(Clone),0.340000,1.270000,-1.840000,359.603900,359.921100,359.921100
14,2026-08-29 17:31:01.296,14,Aoliao_yuanwei (1)(Clone),0.340000,1.320000,-1.790000,0.079261,359.920800,0.079152
15,2026-08-29 17:31:01.296,15,Aoliao_yuanwei (2)(Clone),0.340000,1.270000,-1.790000,359.445500,359.921200,359.921200
16,2026-08-29 17:31:01.296,16,Aoliao_yuanwei (3)(Clone),0.340000,1.320000,-1.840000,0.554405,359.920400,359.920400
17,2026-08-29 17:31:01.296,17,BaiChun_caomei(Clone),0.760000,1.270000,-1.780000,359.920600,359.762400,359.921000
18,2026-08-29 17:31:01.296,18,BaiChun_caomei (1)(Clone),0.760000,1.270000,-1.900000,0.395869,359.762100,359.920000
19,2026-08-29 17:31:01.296,19,BaiChun_hongjiu(Clone),0.890000,1.270000,-1.780000,0.237566,359.920600,359.920600
20,2026-08-29 17:31:01.296,20,BaiChun_hongjiu (1)(Clone),0.890000,1.270000,-1.900000,0.079042,359.762300,359.920600
21,2026-08-29 17:31:01.296,21,BaiChun_qiaokeli(Clone),1.020000,1.270000,-1.790000,0.395980,359.920500,359.920500
22,2026-08-29 17:31:01.296,22,BaiChun_qiaokeli (1)(Clone),1.020000,1.270000,-1.900000,359.920700,359.920800,359.920800
23,2026-08-29 17:31:01.296,23,BaiChun_tilamisu(Clone),1.150000,1.270000,-1.790000,359.920700,359.920800,359.920800
24,2026-08-29 17:31:01.296,24,BaiChun_tilamisu (1)(Clone),1.160000,1.270000,-1.900000,0.395980,359.920500,359.920500
25,2026-08-29 17:31:01.296,25,BaiChun_zhenren(Clone),1.290000,1.270000,-1.790000,0.395869,359.762100,359.920000
26,2026-08-29 17:31:01.296,26,BaiChun_zhenren (1)(Clone),1.290000,1.270000,-1.900000,359.920700,359.920800,359.920800
27,2026-08-29 17:31:01.296,27,Baishi(Clone),-0.630000,1.610000,-1.770000,359.920800,359.920700,0.079262
28,2026-08-29 17:31:01.296,28,Baishi (1)(Clone),-0.630000,1.610000,-1.870000,359.761900,359.762900,359.762900
29,2026-08-29 17:31:01.296,29,Baishi (2)(Clone),-0.530000,1.610000,-1.780000,359.762300,359.921000,359.921000
30,2026-08-29 17:31:01.296,30,Baishi (3)(Clone),-0.530000,1.610000,-1.870000,359.762300,359.921000,359.921000
31,2026-08-29 17:31:01.296,31,Baixiang_laniurou(Clone),1.300000,0.160000,-1.780000,-0.000437,89.552910,359.888000
32,2026-08-29 17:31:01.296,32,Baixiang_laniurou (1)(Clone),1.300000,0.260000,-1.780000,-0.001310,89.553340,359.664000
33,2026-08-29 17:31:01.296,33,Baixiang_laomuji(Clone),1.130000,0.160000,-1.780000,-0.000437,89.552910,359.888000
34,2026-08-29 17:31:01.296,34,Baixiang_laomuji (1)(Clone),1.130000,0.260000,-1.780000,-0.000655,89.776720,359.663900
35,2026-08-29 17:31:01.296,35,Baixiang_yangrou(Clone),0.960000,0.160000,-1.780000,-0.000437,89.552910,359.888000
36,2026-08-29 17:31:01.296,36,Baixiang_yangrou (1)(Clone),0.960000,0.260000,-1.780000,-0.000655,89.776720,359.663900
37,2026-08-29 17:31:01.296,37,Baixiang_zhugu(Clone),0.780000,0.160000,-1.780000,-0.000219,89.776280,359.888000
38,2026-08-29 17:31:01.296,38,Baixiang_zhugu (1)(Clone),0.780000,0.260000,-1.780000,359.887500,89.776720,359.776200
39,2026-08-29 17:31:01.296,39,BingHongCha(Clone),-1.210000,0.510000,-1.790000,359.762300,359.921000,359.921000
40,2026-08-29 17:31:01.296,40,BingHongCha (1)(Clone),-1.200000,0.510000,-1.890000,359.603800,359.762600,359.921600
41,2026-08-29 17:31:01.296,41,BingHongCha (2)(Clone),-1.130000,0.510000,-1.890000,359.762300,359.921000,359.921000
42,2026-08-29 17:31:01.296,42,BingHongCha (3)(Clone),-1.130000,0.510000,-1.990000,359.445400,359.921900,359.762800
43,2026-08-29 17:31:01.296,43,BingHongCha (4)(Clone),-1.130000,0.510000,-1.790000,359.762300,359.921000,359.921000
44,2026-08-29 17:31:01.296,44,BingHongCha (5)(Clone),-1.200000,0.510000,-1.990000,359.603800,359.921600,359.762600
45,2026-08-29 17:31:01.296,45,BingTangXueLi(Clone),-1.360000,0.510000,-1.790000,359.603900,359.921100,359.921100
46,2026-08-29 17:31:01.296,46,BingTangXueLi (1)(Clone),-1.360000,0.510000,-1.890000,359.603800,359.762600,359.921600
47,2026-08-29 17:31:01.296,47,BingTangXueLi (2)(Clone),-1.280000,0.510000,-1.890000,359.762200,359.762500,359.921300
48,2026-08-29 17:31:01.296,48,BingTangXueLi (3)(Clone),-1.280000,0.510000,-1.990000,359.762200,359.762500,359.921300
49,2026-08-29 17:31:01.296,49,BingTangXueLi (4)(Clone),-1.280000,0.510000,-1.790000,359.603800,359.762600,359.921600
50,2026-08-29 17:31:01.296,50,BingTangXueLi (5)(Clone),-1.360000,0.510000,-1.990000,359.603900,359.921100,359.921100
51,2026-08-29 17:31:01.296,51,DaJiao(Clone),-0.220000,0.160000,-1.720000,359.604800,359.761000,0.396862
52,2026-08-29 17:31:01.296,52,DaJiao (1)(Clone),-0.220000,0.160000,-1.960000,0.712920,359.921300,0.078719
53,2026-08-29 17:31:01.296,53,DaJiao (2)(Clone),-0.100000,0.160000,-1.720000,0.712810,359.920300,359.920300
54,2026-08-29 17:31:01.296,54,DaJiao (3)(Clone),-0.100000,0.160000,-1.960000,0.712810,359.920300,359.920300
55,2026-08-29 17:31:01.296,55,DaJiao_Hong(Clone),-0.440000,0.160000,-1.710000,359.619900,355.482600,0.411337
56,2026-08-29 17:31:01.296,56,DaJiao_Hong (1)(Clone),-0.340000,0.160000,-1.950000,359.620500,355.324100,0.411863
57,2026-08-29 17:31:01.296,57,DaJiao_Hong (2)(Clone),-0.340000,0.160000,-1.710000,0.392606,355.483700,359.905200
58,2026-08-29 17:31:01.296,58,DaJiao_Hong (3)(Clone),-0.440000,0.160000,-1.950000,0.234193,355.325300,359.911200
59,2026-08-29 17:31:01.296,59,DaJiao_lv(Clone),-0.660000,0.160000,-1.710000,359.764300,357.385800,0.084607
60,2026-08-29 17:31:01.296,60,DaJiao_lv (1)(Clone),-0.560000,0.160000,-1.940000,359.605900,357.385600,0.088221
61,2026-08-29 17:31:01.296,61,DaJiao_lv (2)(Clone),-0.560000,0.160000,-1.700000,359.612500,357.543000,0.404437
