序号,PC采集时间,PC时间戳(ms),录制相对时间(ms),Unity帧,网络对象ID,Quest位姿序号,PoseReadTime-QuestUnix(ms),PoseReadTime-PC时钟域(ms),PoseReadTime至PC观测延迟(ms),RenderPredicted-TrackingSpace位置X,RenderPredicted-TrackingSpace位置Y,RenderPredicted-TrackingSpace位置Z,RenderPredicted-TrackingSpace旋转X,RenderPredicted-TrackingSpace旋转Y,RenderPredicted-TrackingSpace旋转Z,RenderPredicted-Unity世界位置X,RenderPredicted-Unity世界位置Y,RenderPredicted-Unity世界位置Z,RenderPredicted-Unity世界旋转X,RenderPredicted-Unity世界旋转Y,RenderPredicted-Unity世界旋转Z,时钟同步有效,时钟同步状态,时钟偏移(ms),同步RTT(ms),同步年龄(ms),偏移不确定度上界(ms),同步样本数,RenderPredicted-TrackingSpace四元数X,RenderPredicted-TrackingSpace四元数Y,RenderPredicted-TrackingSpace四元数Z,RenderPredicted-TrackingSpace四元数W,RenderPredicted-Unity世界四元数X,RenderPredicted-Unity世界四元数Y,RenderPredicted-Unity世界四元数Z,RenderPredicted-Unity世界四元数W,PoseReadTime-OVR单调时钟(s),RawPoseSampleTime-OVR单调时钟(s),RawPoseSampleTime-QuestUnix估算(ms),PredictedDisplayTime代理-OVR单调时钟(s),PredictedDisplayTime代理-QuestUnix估算(ms),PredictionHorizon(ms),RawSampleAge(ms),QuestUnity帧,Quest采样阶段,RawPose有效,RenderPoseTime有效,Raw-TrackingSpace位置X,Raw-TrackingSpace位置Y,Raw-TrackingSpace位置Z,Raw-TrackingSpace四元数X,Raw-TrackingSpace四元数Y,Raw-TrackingSpace四元数Z,Raw-TrackingSpace四元数W,Raw-Unity世界位置X,Raw-Unity世界位置Y,Raw-Unity世界位置Z,Raw-Unity世界四元数X,Raw-Unity世界四元数Y,Raw-Unity世界四元数Z,Raw-Unity世界四元数W
1,2026-08-29 17:31:01.288,1787995861287.580,74.906,27229,9,6371,1787995923435.920,,,0.325990,1.132406,0.177478,333.392639,101.361137,11.288492,0.559981,1.132406,0.862803,333.392639,195.520157,11.288492,false,Unsynced,0.000,,,,0,0.07105688,-0.7635548,-0.237804875,-0.5961407,-0.125755861,-0.9565212,-0.213975951,0.153189182,29575.447818247,,,29575.493890877,1787995923481.990,46.073,,4711,Update,false,true,,,,,,,,,,,,,,
2,2026-08-29 17:31:01.317,1787995861317.830,105.153,27230,9,6375,1787995923470.420,,,0.325787,1.132389,0.177301,333.439178,101.476578,11.253873,0.559819,1.132389,0.863019,333.439178,195.635590,11.253874,false,Collecting,62297.723,3.788,19.6,1.894,1,0.07079204,-0.764181,-0.237397656,-0.5955318,-0.125638008,-0.9565018,-0.2135047,0.15406242,29575.482322365,,,29575.535655782,1787995923523.760,53.333,,4713,Update,false,true,,,,,,,,,,,,,,
3,2026-08-29 17:31:01.342,1787995861341.410,128.735,27231,9,6389,1787995923594.710,,,0.324644,1.132725,0.177204,333.330475,101.582787,11.216925,0.559806,1.132725,0.864165,333.330475,195.741806,11.216924,false,Collecting,62297.723,3.788,43.2,1.894,1,0.0714159,-0.764598548,-0.237969786,-0.5946925,-0.125632137,-0.9561715,-0.214351147,0.154939651,29575.606603471,,,29575.660958767,1787995923649.060,54.355,,4720,Update,false,true,,,,,,,,,,,,,,
4,2026-08-29 17:31:01.362,1787995861361.630,148.953,27232,9,6393,1787995923630.420,,,0.324267,1.132784,0.177231,333.284821,101.577492,11.185899,0.559859,1.132784,0.864539,333.284821,195.736496,11.185899,false,Collecting,62297.723,3.788,63.4,1.894,1,0.07188476,-0.7645046,-0.238098711,-0.594705164,-0.125407279,-0.9561168,-0.2147823,0.154862285,29575.642317329,,,29575.688806837,1787995923676.910,46.490,,4722,Update,false,true,,,,,,,,,,,,,,
5,2026-08-29 17:31:01.377,1787995861377.830,165.153,27233,9,6395,1787995923647.460,,,0.324059,1.132790,0.177270,333.253113,101.577576,11.161830,0.559914,1.132790,0.864744,333.253113,195.736603,11.161829,false,Collecting,62297.723,3.788,79.6,1.894,1,0.0722193,-0.7644572,-0.238177463,-0.5946941,-0.125237122,-0.9560764,-0.215080917,0.154835135,29575.659360403,,,29575.702726728,1787995923690.830,43.366,,4723,Update,false,true,,,,,,,,,,,,,,
6,2026-08-29 17:31:01.394,1787995861394.580,181.906,27234,9,6397,1787995923664.780,,,0.323685,1.132848,0.177330,333.205994,101.589279,11.110288,0.560000,1.132848,0.865112,333.205994,195.748291,11.110287,false,Collecting,62297.723,3.788,96.3,1.894,1,0.0727977753,-0.7644364,-0.2382202,-0.594633162,-0.124874488,-0.9560176,-0.215533629,0.15486142,29575.676678166,,,29575.730571106,1787995923718.670,53.893,,4724,Update,false,true,,,,,,,,,,,,,,
7,2026-08-29 17:31:01.411,1787995861410.610,197.932,27235,9,6399,1787995923682.620,,,0.323481,1.132890,0.177384,333.187408,101.591362,11.081455,0.560070,1.132890,0.865312,333.187408,195.750366,11.081457,false,Collecting,62297.723,3.788,112.4,1.894,1,0.07308774,-0.764409542,-0.238191158,-0.5946438,-0.124655761,-0.9560071,-0.2157262,0.154834479,29575.694514626,,,29575.744490026,1787995923732.590,49.975,,4725,Update,false,true,,,,,,,,,,,,,,
8,2026-08-29 17:31:01.437,1787995861437.410,224.738,27236,9,6401,1787995923700.800,,,0.323287,1.132944,0.177429,333.162048,101.577667,11.069758,0.560128,1.132944,0.865502,333.162048,195.736694,11.069757,false,Collecting,62297.723,3.788,139.2,1.894,1,0.07333353,-0.7643046,-0.238284647,-0.594710946,-0.124556839,-0.955984831,-0.215969861,0.1547119,29575.712696919,,,29575.758418739,1787995923746.520,45.722,,4726,Update,false,true,,,,,,,,,,,,,,
9,2026-08-29 17:31:01.453,1787995861453.620,240.949,27237,9,6403,1787995923716.650,,,0.323096,1.133048,0.177475,333.136688,101.582573,11.059957,0.560188,1.133048,0.865689,333.136688,195.741592,11.059955,false,Collecting,62297.638,3.819,11.9,1.925,2,0.07352799,-0.764297247,-0.238399774,-0.5946503,-0.124508724,-0.9559354,-0.216190666,0.154747814,29575.728551139,,,29575.772337212,1787995923760.440,43.786,,4727,Update,false,true,,,,,,,,,,,,,,
10,2026-08-29 17:31:01.470,1787995861470.450,257.779,27238,9,6405,1787995923734.750,,,0.322718,1.133281,0.177559,333.067017,101.582909,11.047114,0.560299,1.133281,0.866060,333.067017,195.741928,11.047114,false,Collecting,62297.638,3.819,28.8,1.925,2,0.0739956,-0.7642177,-0.238780871,-0.5945416,-0.12446937,-0.9558016,-0.216792613,0.15476355,29575.746652704,,,29575.800179924,1787995923788.280,53.527,,4728,Update,false,true,,,,,,,,,,,,,,
